专业代号及名称,院校代号及名称,投档计划数,投档最低位次
09新闻学,A140辽宁大学,8,23167
1N新闻学(融媒体国际新闻),A031北京第二外国语学院,2,23445
M1新闻学(厦门大学马来西亚分校招生专业),A384厦门大学,1,24578
32新闻传播学类,A068天津外国语大学,1,25995
90新闻传播学类,A270上海师范大学,8,26806
44新闻传播学类,A353浙江工商大学,2,27601
06新闻传播学类,A252上海理工大学,6,28470
33新闻学,A530湘潭大学,4,30134
08新闻传播学类,A075河北大学,2,30781
1F新闻学,A126内蒙古大学,2,30973
37新闻传播学类,A593广西大学,10,31043
33新闻传播学类,A512湖北大学,3,31064
27新闻传播学类,A338浙江理工大学,3,32348
32新闻学,B647浙江传媒学院,3,33076
01新闻学,A277上海体育学院,2,33390
04新闻学(卓越新闻人才计划),A749宁夏大学,4,33533
19新闻传播学类,B482浙江财经大学,4,33591
1C新闻传播学类,A616成都理工大学,4,33623
06新闻传播学类,A385华侨大学,3,36018
2N新闻学,B065青岛大学,14,36460
46新闻传播学类,A108山西大学,8,37306
YC新闻学(卓越班),A536长沙理工大学,1,37356
13广播电视学(卓越新闻传播人才培养试点班),B835上海政法学院,3,37384
38新闻传播学类,A650四川外国语大学,2,38442
5C新闻传播学类,A755新疆大学,6,39667
39国际新闻与传播,A650四川外国语大学,1,40917
40新闻学(经济新闻),A421江西财经大学,3,40967
0A新闻传播学类,A445山东师范大学,75,41114
16新闻传播学类,B799重庆工商大学,1,41222
11新闻学,A536长沙理工大学,2,41296
1D新闻传播学类(地方专项计划),A445山东师范大学,5,42538
55新闻传播学类,A637重庆师范大学,2,42808
58新闻传播学类,A370安徽师范大学,4,43141
11新闻传播学类,A015北京印刷学院,3,43254
2U新闻传播学类,A414江西师范大学,4,44156
1A新闻传播学类,A094河北师范大学,5,45344
13新闻学,B417北京联合大学,2,45500
01新闻传播学类,A489长江大学,1,49215
17新闻学,A705西安石油大学,2,49715
60新闻学,A534湖南科技大学,2,51491
45新闻学,A406南昌航空大学,2,52566
16新闻传播学类,A656西南民族大学,3,52974
2K新闻学,A759石河子大学,4,53590
36新闻学,A125山西财经大学,2,56102
01新闻学,A736西北师范大学,3,56238
1C新闻学(地方专项计划),A456山东财经大学,5,58621
19新闻传播学类,D021浙大城市学院,5,60736
54新闻传播学类,A463河南工业大学,3,61776
2X新闻传播学类,A427济南大学,58,62682
18新闻学,A373淮北师范大学,1,65179
A1新闻传播学类,D687南京传媒学院,1,66894
02新闻传播学类(中外合作办学),F401北京师范大学-香港浸会大学联合国际学院,16,69390
E1新闻学,A203吉林师范大学,2,69767
19新闻传播学类,B832河北经贸大学,3,72281
32新闻学,C026大连民族大学,2,72695
1R新闻学(济南走读),Y014山东财经大学,15,73914
2H新闻学,A446曲阜师范大学,84,73938
16新闻学,B406甘肃政法大学,2,75625
91新闻传播学类,B535湖南工业大学,5,75645
1J新闻学,B066烟台大学,64,80813
4B新闻学,A689云南财经大学,4,82231
2G新闻传播学类(济南走读),Y016济南大学,25,88265
53新闻学,A418赣南师范大学,2,88876
2H新闻学,A741兰州财经大学,2,88877
61新闻学,A240哈尔滨商业大学,9,92618
0A新闻学,A653成都体育学院,3,93854
31新闻学,A167渤海大学,6,96825
02新闻学,A377滁州学院,1,103680
38新闻学,A347湖州师范学院,2,104654
15新闻学,A546衡阳师范学院,2,104673
06新闻学(新媒体方向),A071天津体育学院,5,105039
29新闻学,A608广西民族大学,1,108038
1U新闻学,A452临沂大学,46,108472
34新闻学,A585广州体育学院,1,109339
08新闻学(体育文化传媒方向),A071天津体育学院,3,110031
26新闻传播学类,B407北方民族大学,1,112349
PP新闻传播学类,A742西北民族大学,4,119414
38新闻学,A746青海师范大学,3,119803
08新闻传播学类,E388重庆第二师范学院,4,120364
2G新闻传播学类,A596桂林理工大学,4,120978
02新闻学,A549湖南文理学院,2,123864
46新闻学,A419井冈山大学,3,127739
0G新闻学,A176沈阳体育学院,2,127931
12新闻学,A695西藏民族大学,4,129933
0P新闻学(法治新闻方向),E100山东政法学院,55,133246
19新闻学,A100廊坊师范学院,3,133348
64新闻学,B070洛阳理工学院,4,133455
15新闻学,A545湘南学院,2,138920
38新闻学,E434山西传媒学院,3,140703
14新闻传播学类,B319南昌工程学院,2,142593
2X新闻学,B562兰州文理学院,4,143251
W2新闻学,A416上饶师范学院,2,147639
02新闻学,A122长治学院,1,147745
78新闻学,A136内蒙古民族大学,4,148257
04新闻传播学类,B688山东工商学院,73,148569
1F新闻学,A448德州学院,5,150697
09新闻学,A576韶关学院,2,150866
71新闻学,A481南阳师范学院,8,157025
10新闻学,B100海南热带海洋学院,3,162838
21新闻学,M721河北环境工程学院,2,164571
09新闻传播学类,B071新乡学院,4,165989
30新闻学,G127内蒙古科技大学包头师范学院,1,169248
08新闻学,E682安徽艺术学院,5,170414
09新闻学,A649乐山师范学院,6,174861
28新闻学,A766新疆财经大学,10,175718
