专业代号及名称,院校代号及名称,投档计划数,投档最低位次
45英语,A702西安工业大学,2,58237
1Y英语(外语语种须为英语),A424山东科技大学,115,58501
47商务英语,B660重庆理工大学,3,58669
26商务英语(实验班),A037北京物资学院,1,59169
36英语,A344浙江中医药大学,3,59672
29英语(师范类),A602广西师范大学,5,59844
12英语,A404华东交通大学,2,59876
16商务英语,A125山西财经大学,2,59923
73英语(师范类),A066天津职业技术师范大学,2,59987
1K英语,A364安徽农业大学,2,61664
15英语,A507湖北中医药大学,2,61903
12英语,A656西南民族大学,3,62707
34商务英语,A378安徽财经大学,2,63281
57商务英语(中外合作办学),A650四川外国语大学,7,63710
1M英语,A426青岛科技大学,76,64521
0F英语(师范类，非西藏生源定向西藏就业),Y006山东师范大学,3,65002
31英语,A732兰州交通大学,1,65294
63英语,A537湖南农业大学,5,65339
43英语,A340浙江海洋大学,2,66163
44商务英语,A340浙江海洋大学,2,66259
38商务英语,B560西安财经大学,4,66359
0S英语,A107石家庄铁道大学,2,66824
20英语,B832河北经贸大学,2,66857
33英语,A110中北大学,6,66864
3A英语(师范兼非师范类，济南走读),Y016济南大学,10,67177
1E英语,A081华北理工大学,7,67902
13英语(师范类),B658海南师范大学,7,68324
S4英语(师范类),B535湖南工业大学,2,69564
06英语,A429青岛理工大学,73,70140
05英语,A361安徽理工大学,4,70194
1K英语(师范类),A205长春师范大学,4,70924
04英语,A207吉林财经大学,3,71115
34商务英语,A602广西师范大学,2,71994
55英语,A463河南工业大学,3,72008
SC英语(师范类),B460南京晓庄学院,2,72070
16商务英语,A507湖北中医药大学,2,72971
0J英语,A077河北地质大学,4,74662
K0英语,A407江西理工大学,2,74825
19英语,C026大连民族大学,3,75048
02英语,A144沈阳理工大学,3,75929
27英语(师范类),A451鲁东大学,260,77927
22商务英语,B832河北经贸大学,4,78260
12英语(师范类),E436江苏第二师范学院,5,79874
A3英语,A188东北电力大学,10,80573
03英语,A624中国民用航空飞行学院,4,81875
18英语(师范类),A546衡阳师范学院,1,81936
4S英语(师范类),A531吉首大学,3,82163
01英语,B066烟台大学,118,82206
21英语(师范类),C034湖南第一师范学院,2,83504
2M商务英语,A446曲阜师范大学,89,83596
17英语,A153沈阳建筑大学,2,83635
26英语(中外合作办学),F405温州肯恩大学,6,83740
26英语,B458上海电机学院,3,84625
17商务英语,A373淮北师范大学,1,85134
78英语,B535湖南工业大学,2,85529
31英语,A595桂林电子科技大学,3,85561
FL英语(法律英语方向),B406甘肃政法大学,2,85904
10英语,A464河南科技大学,6,86436
B1英语,A190长春工业大学,2,87086
0Y英语(外贸方向),A405东华理工大学,4,88374
1A英语(师范类),A447聊城大学,128,88933
11英语(师范类，外语语种为英语),A433山东理工大学,120,90175
30商务英语,E436江苏第二师范学院,5,90594
55英语,A220东北石油大学,3,91207
1H英语,A431齐鲁工业大学,89,91506
30英语(师范类),A167渤海大学,8,92168
46英语(师范),B318江西科技师范大学,2,92214
45英语(师范类),B463江苏理工学院,2,92289
13英语(师范类),E437南昌师范学院,2,94136
08英语(外语语种为英语),A433山东理工大学,39,94493
21商务英语,A546衡阳师范学院,1,94668
3D英语(师范类),A452临沂大学,111,95770
E2英语(师范类),A333常熟理工学院,4,97233
10英语(师范类),E389成都师范学院,5,97547
FY英语(翻译方向),B406甘肃政法大学,2,97690
0B英语,B726长春大学,2,98184
2H英语,A430山东建筑大学,31,98406
3K英语,A434山东农业大学,125,99161
23商务英语,A418赣南师范大学,2,100730
73商务英语,Y000哈尔滨理工大学,9,100958
06英语(师范类),A639绵阳师范学院,1,101030
46英语,A154辽宁工业大学,2,102158
N8英语(中外合作办学),A165辽宁师范大学,4,102267
G0英语,A201北华大学,4,102525
3J商务英语,A741兰州财经大学,2,103117
30英语,A679大理大学,2,103602
06英语,A731兰州理工大学,4,103969
53英语,A603南宁师范大学,2,104096
15英语,A435青岛农业大学,92,105034
51英语,A219黑龙江科技大学,2,106254
31英语(师范类),A746青海师范大学,5,106450
17英语(高密校区),Y003青岛科技大学,64,106669
0P英语,A193吉林农业大学,4,106859
A8英语(师范类),A647长江师范学院,3,106882
08英语,A677西南林业大学,3,106948
1E商务英语,A434山东农业大学,65,107634
1N英语(校企合作，与青岛网商产业教育公司合作),A429青岛理工大学,35,108099
N2英语,A410江西农业大学,2,108528
10英语,B819东莞理工学院,3,108731
15英语(师范类),A100廊坊师范学院,4,109780
47商务英语,A377滁州学院,1,110747
0J英语,A741兰州财经大学,2,110804
H5软件工程(英语方向),A410江西农业大学,2,111441
10英语(师范类),A482洛阳师范学院,6,111589
13商务英语,A402闽南师范大学,5,111873
1C商务英语,A452临沂大学,30,112565
A5英语,A149沈阳化工大学,2,112663
28英语,A676云南农业大学,1,112768
09英语(师范类),C048南京特殊教育师范学院,5,112806
PJ英语,A742西北民族大学,2,113302
2L英语,A596桂林理工大学,2,113735
0G英语(师范类),A119太原师范学院,6,115033
73英语,A113山西农业大学,2,115590
44英语(师范类),A419井冈山大学,4,116478
24英语(师范类),E276齐鲁师范学院,105,116741
23英语,B077长沙学院,2,117749
0N英语(师范类),B067潍坊学院,65,118133
67英语(师范类),A762新疆师范大学,5,118482
1F英语,B104华北科技学院,8,119673
13英语(师范类),A514黄冈师范学院,4,119870
45英语,A377滁州学院,1,119941
04商务英语,B736西安航空学院,3,120184
22英语(师范类),A449滨州学院,29,120765
41英语(师范类),A096保定学院,1,121118
0F英语,A653成都体育学院,2,122086
03英语(师范类),A105沧州师范学院,2,124138
1B英语,A441山东中医药大学,110,124149
0E英语(师范类),A695西藏民族大学,6,124593
14商务英语,E437南昌师范学院,1,124683
K1英语,A162辽宁中医药大学,3,124690
18英语(师范类),A483商丘师范学院,3,124693
0U英语,A608广西民族大学,3,126967
0J英语,B420河北金融学院,2,129553
44英语(师范类),A478周口师范学院,2,130687
0K商务英语,B420河北金融学院,2,131378
0E英语(师范类),A664遵义师范学院,3,132228
46英语,B653南阳理工学院,2,132613
0D英语,A695西藏民族大学,4,133765
E1英语(师范类),A416上饶师范学院,2,134843
71英语,B053徐州工程学院,6,134903
07英语(师范类),A169鞍山师范学院,1,134949
0M英语(含师范类),A453泰山学院,84,135140
44英语,A408景德镇陶瓷大学,1,135326
21英语,A528湖北工程学院,1,136366
0D英语(师范类),A098河北民族师范学院,10,137473
23英语(师范类),A124忻州师范学院,3,138128
F3英语,A223黑龙江八一农垦大学,3,139635
18英语,A399泉州师范学院,3,139713
0H英语,E100山东政法学院,83,141301
17英语(师范类),A904枣庄学院,40,141345
2Z英语(校企合作，与青岛英谷教育科技公司合作),A435青岛农业大学,70,141432
3L商务英语(校企合作，与山东网商教育科技集团合作),A434山东农业大学,60,141974
0T英语(师范类),A448德州学院,84,142202
45英语(师范类),A798河北科技师范学院,5,143728
0N英语(师范类),A748青海民族大学,4,143820
E0英语,A129内蒙古农业大学,4,144270
0Y英语(师范类),A455菏泽学院,36,145027
18商务英语,A545湘南学院,2,145328
2A英语(校企合作，与山东智博教育科技有限公司合作),A430山东建筑大学,60,145780
2K英语(师范类),A467河南科技学院,3,146034
13英语(师范类),A101衡水学院,3,146241
1V英语,B510山东交通学院,58,147203
15英语,B319南昌工程学院,2,147984
16英语(师范类),A454济宁学院,100,148435
0U英语,E277山东青年政治学院,25,148489
21英语(校企合作，与济南译软信息技术有限公司合作),A430山东建筑大学,50,148560
04英语,B629北华航天工业学院,2,148694
58英语,B070洛阳理工学院,2,149052
14英语(师范类),D811琼台师范学院,2,149460
21商务英语,A483商丘师范学院,1,150369
16英语(师范类),A234哈尔滨学院,5,150750
35商务英语,A397武夷学院,1,152083
HZ英语(师范类),B709呼和浩特民族学院,1,152565
13英语,A438潍坊医学院,54,152936
C1英语(师范类),A480许昌学院,10,153203
09英语,B261吉林工商学院,3,154169
0L英语(师范类),B393昆明学院,2,154354
68英语(师范类),A233牡丹江师范学院,3,154401
18英语(师范类),A548怀化学院,3,154426
17英语(师范类),A918黄淮学院,10,154997
16英语,B049淮阴工学院,3,156715
51英语(师范类),B527湖南城市学院,2,156974
40英语(师范类),A576韶关学院,2,156975
05英语,D673四川外国语大学成都学院,3,157324
26商务英语,A766新疆财经大学,2,157496
13英语(师范类),A547邵阳学院,3,158672
60商务英语,B070洛阳理工学院,4,158687
11英语(师范类),A202通化师范学院,5,159861
06英语(师范类),A812吕梁学院,5,159965
57英语(师范类),G127内蒙古科技大学包头师范学院,2,161174
3B英语(师范类),B508新余学院,1,162137
15英语(师范类),A122长治学院,2,162218
0Z英语,B843九江学院,4,163756
07商务英语,E098合肥师范学院,10,163977
07英语,B802黑龙江工程学院,2,164223
1E英语(师范类),B395榆林学院,2,164354
06英语(师范类),B397安康学院,2,164371
1D商务英语,A449滨州学院,30,164414
1P商务英语(校企合作，与山东全通网融科技有限公司合作),A452临沂大学,130,164416
0B英语(师范类),A646阿坝师范学院,1,164429
39英语(师范类),A740河西学院,2,164512
1M英语(仅招收英语语种考生),C331山东女子学院,71,165963
1F英语(师范类),D256湖北师范大学文理学院,2,166279
1H英语(师范类),A737兰州城市学院,3,166381
10英语,A443济宁医学院,58,166934
16商务英语,D763福建江夏学院,5,166963
07英语(师范类),A236绥化学院,3,166980
05商务英语,B342湖南工程学院,4,167452
27商务英语,B488衢州学院,5,168166
08商务英语,A549湖南文理学院,2,168194
2P英语(师范类),B561甘肃民族师范学院,2,168493
31英语,A192吉林化工学院,1,168883
16商务英语,A381淮南师范学院,2,168954
5T英语(师范类，英语教育),A609百色学院,2,169314
10英语(师范类),B546广西科技师范学院,2,169570
07英语(师范类),D744黑河学院,3,170656
06英语(师范类),B427集宁师范学院,5,170672
18商务英语,A234哈尔滨学院,2,171304
1S商务英语,A454济宁学院,45,171489
49英语(师范类),A138赤峰学院,3,172047
01商务英语,B445黑龙江工业学院,1,173033
C1英语(师范类),A764伊犁师范大学,10,173597
48商务英语,B653南阳理工学院,3,173654
09英语,B546广西科技师范学院,2,173712
0D商务英语(校企合作，与青岛英谷教育科技股份有限公司合作),E100山东政法学院,60,173953
1S英语,A758新疆农业大学,5,174101
07商务英语,A448德州学院,80,174470
3C商务英语,B508新余学院,2,174509
39商务英语,A233牡丹江师范学院,2,174583
08英语,A236绥化学院,4,174725
0S自动化(中外合作办学)(就读地点济南，只提供英语教学、其他语种慎报),A424山东科技大学,65,174909
0G商务英语,E438山东管理学院,62,175500
14商务英语,A547邵阳学院,2,176098
00英语(师范类),A819呼伦贝尔学院,4,176126
22英语(师范类),D411河北师范大学汇华学院,5,177314
16商务英语,A245哈尔滨金融学院,3,178111
57英语,B354梧州学院,1,178565
22商务英语,A455菏泽学院,50,180064
03英语,E440贵州理工学院,4,180140
16商务英语,A122长治学院,2,180206
1F商务英语(仅招收英语语种考生),C331山东女子学院,57,180564
13英语(英西班牙双语),A964吉林外国语大学,3,180612
59商务英语,B068郑州工程技术学院,3,180823
12英语,D898北京科技大学天津学院,2,181248
1A英语(师范类),A763喀什大学,14,181517
0R商务英语,B963亳州学院,3,181629
01英语(师范类),D503信阳学院,2,181703
07英语,D469厦门大学嘉庚学院,4,182804
07商务英语,B397安康学院,2,183137
02英语(校企合作，与山东智博教育科技有限公司合作),B688山东工商学院,70,183179
01商务英语(校企合作，与山东开创信息有限公司合作),E276齐鲁师范学院,40,183311
27商务英语,B652河南财政金融学院,6,183396
48商务英语(民航服务英语方向),B330安阳工学院,2,184848
A6商务英语,A206白城师范学院,3,184981
57商务英语,B311三明学院,2,185457
05英语,A242哈尔滨体育学院,4,187509
33商务英语,A964吉林外国语大学,3,187696
27英语,E207上海财经大学浙江学院,1,188035
0X英语(校企合作，与青岛英谷教育科技公司合作),E277山东青年政治学院,80,188047
0P商务英语,E439山东农业工程学院,86,188807
01英语(校企合作，与青岛英谷教育科技股份有限公司合作),A443济宁医学院,40,189937
11英语(师范类),D843南京师范大学泰州学院,6,190563
41商务英语,A553湖南人文科技学院,5,190572
14英语,B837桂林旅游学院,7,190963
1X商务英语,A739天水师范学院,4,191323
30商务英语,B825桂林航天工业学院,4,191942
16英语,D497郑州财经学院,2,192071
08翻译(英语方向),D744黑河学院,3,192233
05商务英语,D744黑河学院,4,192926
01英语,C599湘潭大学兴湘学院,2,193113
15英语(英韩双语),A964吉林外国语大学,4,195109
01商务英语(校企合作，与青岛英谷教育公司合作),A454济宁学院,80,196303
H0英语,D628新疆政法学院,4,197177
13英语,D188武汉晴川学院,1,197268
16英语,B122三江学院,2,197316
11英语,D986江苏大学京江学院,3,197471
2Z商务英语,D988江苏师范大学科文学院,3,197487
01英语,D588重庆外语外事学院,2,197689
0L英语,E001聊城大学东昌学院,14,198440
10英语,D636上海外国语大学贤达经济人文学院,2,198460
04英语(师范类),D439赣南师范大学科技学院,8,200150
28英语(师范类),D438江西师范大学科学技术学院,9,201612
01商务英语,D673四川外国语大学成都学院,3,202272
27英语,C362武汉生物工程学院,2,203909
4A英语(师范类),D440南昌应用技术师范学院,1,204150
16英语,D290浙江工商大学杭州商学院,4,204258
