专业代号及名称,院校代号及名称,投档计划数,投档最低位次
27生物制药,A114山西医科大学,3,52375
11药学,A541湖南中医药大学,4,53253
32化工与制药类,B799重庆工商大学,2,53482
W4中药学类,A163沈阳药科大学,8,54131
05药物制剂,A490武汉工程大学,3,54593
1W制药工程(中外合作办学),A291南京工业大学,3,55194
75制药工程,A674昆明理工大学,2,55334
5H药学类,B660重庆理工大学,2,55588
38药学,A160锦州医科大学,2,55767
ZR中药学(日语强化班),A163沈阳药科大学,3,55853
02制药工程,A199长春中医药大学,1,55998
30化工与制药类,A703西安建筑科技大学,4,56098
20化工与制药类(中外合作办学)(2加2),F301宁波诺丁汉大学,2,56100
17临床药学,A759石河子大学,4,56473
0J药物制剂,A507湖北中医药大学,3,57520
15药学,A759石河子大学,5,58194
0T临床药学,A573广东药科大学,4,58220
G3临床药学,A752宁夏医科大学,2,59664
0H制药工程,A507湖北中医药大学,3,59745
20药学,E655深圳技术大学,4,59878
19化工与制药类(中外合作办学),F301宁波诺丁汉大学,2,60129
15中药学,A114山西医科大学,3,60704
0T药物制剂,A226哈尔滨医科大学,6,60870
B5药事管理,A163沈阳药科大学,7,61742
6H化工与制药类,A743青海大学,6,62379
28化工与制药类,A708陕西科技大学,6,62385
38临床药学(中外合作办学),A063天津中医药大学,6,63350
C2制药工程,B075三峡大学,7,64484
1A药学(中外合作办学),A660贵州医科大学,1,65049
0D制药工程,A573广东药科大学,4,65336
91药物制剂,A081华北理工大学,9,65681
67化工与制药类,A214哈尔滨理工大学,4,65976
5G化工与制药类,B660重庆理工大学,4,66287
90药学,A081华北理工大学,11,66408
0L中药制药,A507湖北中医药大学,3,66446
16中药学,A759石河子大学,5,66686
0X中药学类,A573广东药科大学,4,66800
36制药工程,A534湖南科技大学,2,67915
14药事管理,A507湖北中医药大学,1,68318
12临床药学,A598广西医科大学,2,69723
14中药学,A632西南医科大学,2,69766
11中药学,A228黑龙江中医药大学,3,70261
14中药学,A600广西中医药大学,1,70577
26药学类,A524中南民族大学,9,71579
1U弹药工程与爆炸技术,A361安徽理工大学,2,71756
28药物制剂(中外合作办学),A159中国医科大学,5,72067
34制药工程,B258大连大学,4,72276
28弹药工程与爆炸技术,A144沈阳理工大学,1,72831
18中药制药,A228黑龙江中医药大学,2,73166
0V海洋药学,A573广东药科大学,3,73200
13药学类,A632西南医科大学,8,73400
0K中药资源与开发,A507湖北中医药大学,3,75003
41制药工程,A736西北师范大学,2,76319
2D药物制剂,A426青岛科技大学,31,76553
1U生物制药,A424山东科技大学,48,77705
0T药学,A412江西中医药大学,2,77759
G1药学,A752宁夏医科大学,2,78500
0U药物分析,A226哈尔滨医科大学,5,78570
0C中药学,A369安徽中医药大学,3,78735
0Y药学,A555南华大学,5,78943
0G制药工程,A426青岛科技大学,60,79979
26药学,A427济南大学,35,80294
0D药学,A164沈阳医学院,1,81346
0W制药工程,A427济南大学,9,81504
1E制药工程(地方专项计划),A426青岛科技大学,15,82671
59制药工程,A463河南工业大学,4,82802
0N生物制药,A364安徽农业大学,2,83316
71药学,A460河南理工大学,2,83525
24药学,A361安徽理工大学,6,86120
J3药学类,A082河北科技大学,6,86790
03制药工程,A110中北大学,4,87520
0E制药工程(地方专项计划),A427济南大学,5,87571
08临床药学,A439山东第一医科大学,130,87866
18化工与制药类,A110中北大学,12,88222
69生物制药,A732兰州交通大学,2,88595
58化工与制药类,A489长江大学,6,89194
29生物制药,A152大连工业大学,4,89448
1J生物制药,A427济南大学,60,89565
06药学,A439山东第一医科大学,179,89914
13药学,D021浙大城市学院,10,90201
D1中药学,A162辽宁中医药大学,2,90339
55药学,A694西藏大学,3,90886
0M化工与制药类,A555南华大学,4,91662
37制药工程,A566广东海洋大学,4,93275
JA化工与制药类,A082河北科技大学,10,93289
J2制药工程,A082河北科技大学,6,93473
1J制药工程,A361安徽理工大学,8,94527
03生物制药,A017北京石油化工学院,5,94984
38制药工程,A656西南民族大学,3,95191
92中药学,A081华北理工大学,9,95573
1E化工与制药类,A427济南大学,59,95809
0U中药学,A412江西中医药大学,5,96024
11中药学,A680云南中医药大学,1,97327
53制药工程,A464河南科技大学,5,97767
17中药学(临床中药学方向),A809山西中医药大学,2,98535
0J药学(济南走读),Y016济南大学,10,99415
28制药工程,A446曲阜师范大学,18,100431
0F生物制药,A369安徽中医药大学,2,100749
G5中药学,A752宁夏医科大学,2,101045
16药学,A228黑龙江中医药大学,8,101354
13临床药学,A679大理大学,2,101401
39中药资源与开发,A537湖南农业大学,2,102017
0Z药学,A680云南中医药大学,1,102344
0C药学,A199长春中医药大学,2,102996
13药学,A600广西中医药大学,2,103137
2S化工与制药类(地方专项计划),A427济南大学,20,103338
10中药学,C214湖南医药学院,1,103446
0F中药学,A164沈阳医学院,1,104593
08药学,B066烟台大学,150,104808
0W中药制药,A412江西中医药大学,2,105270
02制药工程,A017北京石油化工学院,6,105578
13制药工程(地方专项计划),A446曲阜师范大学,10,105982
0M中药学,A439山东第一医科大学,45,106764
09药学,A601桂林医学院,2,106853
0G药学类,A431齐鲁工业大学,56,107782
10药物制剂,A680云南中医药大学,1,108256
1K药学类(地方专项计划),A431齐鲁工业大学,10,110022
14药学,B810海南医学院,3,110256
0X制药工程,B066烟台大学,70,110380
1G药学,A439山东第一医科大学,182,110606
13制药工程,A228黑龙江中医药大学,4,110895
W1药学,A201北华大学,3,111142
0S中药学,A441山东中医药大学,77,112138
0G动物药学,A157沈阳农业大学,2,112273
0D药学,A441山东中医药大学,85,112829
02药学(地方专项计划),A441山东中医药大学,5,112899
10中药学(地方专项计划),A441山东中医药大学,10,112965
0D药物制剂,A199长春中医药大学,1,113384
13生物制药,B066烟台大学,70,113510
0F中药学,A199长春中医药大学,3,113750
09药学,B840西安医学院,5,114452
54制药工程,A190长春工业大学,4,115739
0N制药工程,A680云南中医药大学,1,115766
15药学,A262上海健康医学院,8,116028
16中草药栽培与鉴定,A735甘肃中医药大学,1,116238
D3药物制剂,A162辽宁中医药大学,3,116258
2K制药工程(医药方向),A434山东农业大学,20,116404
0D临床药学,A438潍坊医学院,60,117069
2X制药工程,A434山东农业大学,30,117077
17生物制药(济南走读),Y016济南大学,30,117305
18中药学,A117长治医学院,1,118061
20生物制药,A352丽水学院,2,118958
0P药物化学,A439山东第一医科大学,70,119536
15中药资源与开发,A228黑龙江中医药大学,2,120293
18药学,A735甘肃中医药大学,1,120362
15中药学,A809山西中医药大学,6,120459
25化工与制药类,A431齐鲁工业大学,49,120624
34制药工程(济南走读),Y016济南大学,10,120818
09药学,C214湖南医药学院,1,120885
30中药资源与开发,A434山东农业大学,9,120891
D2生物制药,A333常熟理工学院,2,120964
25制药工程,B658海南师范大学,5,121132
15中药学,A735甘肃中医药大学,2,121418
08药学,A117长治医学院,2,122540
16生物制药,A451鲁东大学,62,123565
19制药工程,A809山西中医药大学,1,123613
0L临床药学,A443济宁医学院,40,123655
20生物制药,A809山西中医药大学,3,124400
