专业代号及名称,院校代号及名称,投档计划数,投档最低位次
AB临床医学,A752宁夏医科大学,1,25789
03临床医学,A313徐州医科大学,9,26109
1U临床医学类,A475河南大学,5,26386
55临床医学,A299江苏大学,5,26481
04中西医临床医学,A633成都中医药大学,4,26691
0H临床医学,A633成都中医药大学,4,26729
02临床医学,A743青海大学,6,27084
21临床药学,A063天津中医药大学,3,27184
15临床药学,A161大连医科大学,1,27488
26临床医学,A081华北理工大学,7,27690
06临床医学,A541湖南中医药大学,3,28151
0T临床医学类,A555南华大学,5,28401
42临床医学(五年),A385华侨大学,7,31806
0V临床医学,A759石河子大学,10,32303
31临床医学,A160锦州医科大学,6,32574
0E临床药学,A226哈尔滨医科大学,3,32674
50临床医学,A114山西医科大学,5,32978
0A中西医临床医学,A507湖北中医药大学,2,32979
80临床医学,A674昆明理工大学,4,33321
01临床医学,A632西南医科大学,10,33372
01临床医学(“5+3一体化”),A760新疆医科大学,7,33712
14临床药学,A114山西医科大学,3,34550
A1临床医学,A752宁夏医科大学,9,34701
51临床医学(含教育部卓越医生、省荆楚卓越人才育人计划),A489长江大学,2,35286
15临床药学(中外合作办学),A316中国药科大学,5,35721
X1临床医学(非西藏生源定向西藏就业),Y001山东大学,5,35933
03中西医临床医学,A541湖南中医药大学,2,36316
0J临床医学,A573广东药科大学,5,37170
07临床药学,A678昆明医科大学,1,38422
B3临床药学,A163沈阳药科大学,3,38573
72临床医学类(中外合作办学)(中英双学位合作办学),A403南昌大学,60,38651
81临床医学,B075三峡大学,4,39511
13临床医学,A439山东第一医科大学,420,39698
0B临床药学,A392福建医科大学,2,39810
0U临床医学,A661遵义医科大学,2,40052
22临床医学,A361安徽理工大学,2,41056
01临床医学,D705成都医学院,10,42670
01临床医学,B840西安医学院,2,42810
12临床医学,A716陕西中医药大学,3,44069
02临床医学(“5+3一体化”儿科学),A760新疆医科大学,2,44118
88中西医临床医学,A081华北理工大学,3,44515
21中西医临床医学,A716陕西中医药大学,2,46835
52中西医临床医学,A489长江大学,1,47452
01临床医学,A661遵义医科大学,9,49164
05临床医学,A132内蒙古医科大学,2,50146
75临床医学,A464河南科技大学,11,51674
52临床医学,A694西藏大学,1,51814
04临床医学,A199长春中医药大学,6,54258
17临床药学,A759石河子大学,4,56473
