专业代号及名称,院校代号及名称,投档计划数,投档最低位次
42金融学,A674昆明理工大学,3,53633
04金融学(期货与证券实验班),A037北京物资学院,2,53728
75金融学,B075三峡大学,4,54108
12金融学,A424山东科技大学,37,54479
02金融学,A378安徽财经大学,3,54587
03金融数学,A636四川师范大学,2,55091
11金融学,A125山西财经大学,6,55357
0K金融学,A207吉林财经大学,4,55423
01金融学,B258大连大学,2,55476
0L金融学,B417北京联合大学,7,55803
59金融学类,B660重庆理工大学,3,56158
08金融学(含荆楚卓越人才协同育人计划),A489长江大学,2,56621
02金融工程,A636四川师范大学,2,56641
27金融工程,E275浙江外国语学院,2,56677
0C金融学,A414江西师范大学,2,57280
16金融数学(地方专项计划),A456山东财经大学,10,57649
0W金融工程(中外合作办学)(中美合作),B047上海立信会计金融学院,7,57769
04金融学类,A656西南民族大学,3,58342
90金融学,A212黑龙江大学,2,58343
07金融学类,A484河南财经政法大学,2,58466
48经济学类(中美121双学位班、可接轨CFA金融分析师),A385华侨大学,8,58575
0Z金融数学,A456山东财经大学,45,58585
35金融数学,B540广东金融学院,1,59688
26金融学(中外合作办学)(能源金融),A070天津财经大学,13,59939
01金融学,B540广东金融学院,1,60186
24金融数学,B660重庆理工大学,3,61563
4A金融学(中外合作办学),B799重庆工商大学,2,61919
93金融学,A212黑龙江大学,5,62149
12金融工程,A125山西财经大学,2,62251
42金融数学,A125山西财经大学,2,62823
81金融学,A081华北理工大学,4,63086
39金融学类,A538中南林业科技大学,4,63133
25金融学(大数据金融实验班),A496武汉轻工大学,3,63195
59金融学,A705西安石油大学,2,63943
20金融学类,A378安徽财经大学,6,64375
10金融学类,A554湖南工商大学,5,65298
0M金融学(实验班),B417北京联合大学,2,65610
05金融学类,B832河北经贸大学,5,65874
10金融工程,A370安徽师范大学,2,66371
0L金融工程,A207吉林财经大学,3,67294
01金融学,A144沈阳理工大学,2,67308
0C金融数学(中外合作办学),F401北京师范大学-香港浸会大学联合国际学院,3,67461
31金融工程,A094河北师范大学,4,68095
G2金融学,A142沈阳工业大学,3,68717
31金融学,A154辽宁工业大学,1,68937
01金融学,A689云南财经大学,8,69248
N8金融学,A360安徽工业大学,2,70151
06金融科技,B832河北经贸大学,5,70656
H3金融学,A407江西理工大学,2,70663
22金融学(中外合作办学)(国际金融方向),F405温州肯恩大学,5,71342
NB经济与金融,A360安徽工业大学,2,72278
38金融学类,B600湖北经济学院,3,73375
1A金融学,A364安徽农业大学,2,73833
91金融学,A066天津职业技术师范大学,2,74778
NF互联网金融,A360安徽工业大学,2,74837
51金融科技,A125山西财经大学,3,75071
29金融学,A463河南工业大学,2,75339
10数学与应用数学(含金融、软件设计方向),A405东华理工大学,4,77992
05金融工程,A689云南财经大学,4,78794
06金融学,A741兰州财经大学,2,78867
0H金融数学,A427济南大学,30,79713
02金融工程,A076河北工程大学,2,80107
02金融学,A361安徽理工大学,2,81385
39金融学(中外合作办学),B560西安财经大学,6,83387
55金融学,A460河南理工大学,2,84162
L1金融工程,A186长春理工大学,9,85185
05金融工程,B600湖北经济学院,4,86082
Q3软件工程(金融方向),A407江西理工大学,2,88252
E4金融学,A410江西农业大学,2,89482
28金融工程(中外合作办学),A320江苏师范大学,5,91708
24金融工程,A446曲阜师范大学,62,95196
1A金融学,B149中华女子学院,4,95316
03金融学类,B532湖南财政经济学院,4,96641
49金融学(中外合作办学),A125山西财经大学,5,98887
1F金融学(中外合作办学),A207吉林财经大学,4,98936
H1金融学(中外合作办学),A484河南财经政法大学,6,100298
21金融学,A167渤海大学,1,101974
0M金融工程,A878安徽建筑大学,2,102214
3U互联网金融,A741兰州财经大学,2,102332
01金融学,B406甘肃政法大学,1,102976
46金融学,A190长春工业大学,4,103562
78金融学类(金融学院),A240哈尔滨商业大学,32,105046
0H金融学,A431齐鲁工业大学,195,107291
2D金融学,B726长春大学,2,108575
19金融学,A433山东理工大学,156,113697
0Y金融科技,A431齐鲁工业大学,80,113804
09金融数学(济南走读),Y016济南大学,15,115380
01金融学,A127内蒙古科技大学,2,115413
H8软件工程(金融方向),A410江西农业大学,3,116956
31金融学,A418赣南师范大学,2,117428
0F金融学,A434山东农业大学,140,117907
0R金融学,A193吉林农业大学,2,118416
0R经济与金融,A205长春师范大学,4,119018
4J金融学(121中俄实验班),A741兰州财经大学,2,119854
07金融学类,A671贵州财经大学,3,120204
01金融学,B420河北金融学院,3,121420
2E金融工程,B726长春大学,2,121494
A1金融学,A149沈阳化工大学,4,121532
01金融学,A245哈尔滨金融学院,4,121746
22金融科技,B116成都工业学院,2,123201
2M经济与金融,A435青岛农业大学,105,124416
43金融学,A219黑龙江科技大学,2,124828
38金融工程,D982无锡学院,2,124994
13金融学,B407北方民族大学,1,126894
01金融学,B833上海杉达学院,1,129442
9N金融学(中外合作办学),A077河北地质大学,4,131105
2Z金融工程,A447聊城大学,40,132126
24金融学(中外合作办学),A427济南大学,100,132771
0N金融学,B775防灾科技学院,2,135047
52金融工程,A528湖北工程学院,2,136622
0N金融学(中外合作办学)(就读地点济南，只提供英语教学、其他语种慎报),A424山东科技大学,100,137192
KZ金融学,A203吉林师范大学,4,137724
32金融数学,B407北方民族大学,1,138042
03金融学,A746青海师范大学,2,143130
06金融学,B652河南财政金融学院,2,143776
12经济与金融(校企合作，与青岛英谷教育合作),A435青岛农业大学,70,145391
01金融学,A766新疆财经大学,7,150191
02金融学,A395闽江学院,8,152735
15金融学,B688山东工商学院,84,154345
13金融学(中外合作办学),B420河北金融学院,2,155205
08金融工程,B607北部湾大学,3,155723
07金融工程,A139内蒙古财经大学,6,156060
1K金融学,A234哈尔滨学院,2,156079
1S经济与金融,B067潍坊学院,37,156318
2L金融学(中澳学分互认联合培养项目),A608广西民族大学,8,157196
14金融工程,A399泉州师范学院,3,158020
0R金融科技,B420河北金融学院,2,158335
06经济与金融,B049淮阴工学院,2,159346
0J金融学,B843九江学院,3,159858
3L金融工程(校企合作，与青岛英谷教育科技公司合作),A447聊城大学,40,160042
04金融学,B261吉林工商学院,4,160310
03金融学,D469厦门大学嘉庚学院,4,160367
2A金融工程,E458张家口学院,2,162808
1B经济与金融,E276齐鲁师范学院,70,163573
08金融学类,A485郑州航空工业管理学院,3,163903
05金融数学,A483商丘师范学院,1,164965
01经济与金融,A101衡水学院,2,166522
0X金融工程,B688山东工商学院,40,166867
04金融工程,A377滁州学院,2,168963
1Q金融工程,B510山东交通学院,48,169824
11金融工程,A545湘南学院,2,171977
0H金融科技,B688山东工商学院,40,172166
18金融学,D994南京审计大学金审学院,2,172274
2C金融学,D218大连财经学院,2,172671
07金融数学,A766新疆财经大学,8,176638
03金融工程,A766新疆财经大学,2,177425
36金融工程(校企合作，与山东全通网融科技有限公司合作),A452临沂大学,150,179134
01金融工程,A381淮南师范学院,2,181443
0N互联网金融,A454济宁学院,25,181597
0A金融工程,E438山东管理学院,73,183085
05金融学,E207上海财经大学浙江学院,2,183333
P7金融学,A742西北民族大学,3,183830
11金融学,C331山东女子学院,38,183860
08金融学,A469河南牧业经济学院,3,184098
23金融学,D636上海外国语大学贤达经济人文学院,2,184557
02金融科技,E223贵州师范学院,2,184901
01金融工程,A547邵阳学院,3,185453
53金融学,G127内蒙古科技大学包头师范学院,2,185755
1B金融工程,B802黑龙江工程学院,2,185759
25金融工程,A192吉林化工学院,2,187013
31金融学(国际课程班),B418北京城市学院,1,187026
02金融工程,C331山东女子学院,40,190526
1U金融学(校企合作，与山东全通网融科技有限公司合作),B510山东交通学院,120,191525
1Q经济与金融(校企合作，与山东开创集团股份有限公司合作),E276齐鲁师范学院,40,192219
1A金融数学,A904枣庄学院,30,193473
1C金融学,D763福建江夏学院,7,193571
14金融工程,E439山东农业工程学院,66,193733
09经济与金融,B837桂林旅游学院,2,194302
12金融工程(校企合作，与山东开创集团股份有限公司合作),E276齐鲁师范学院,40,194648
03金融工程(校企合作，与山东中启创优科技公司合作),A453泰山学院,40,197604
01金融工程,E435营口理工学院,2,199291
1G金融工程(校企合作，与山东华仁教育发展有限公司合作),C331山东女子学院,40,199795
17经济与金融,A819呼伦贝尔学院,4,200399
2D金融工程(校企合作，与邦盟汇骏教育科技公司合作),A455菏泽学院,50,204223
15金融工程(校企合作，与青岛英谷教育科技有限公司合作),A904枣庄学院,50,204519
11金融学,D290浙江工商大学杭州商学院,4,206376
23金融学,D684珠海科技学院,2,206460
48金融数学,A763喀什大学,8,206694
05金融学,D603长春财经学院,3,206757
09金融学,D990南京财经大学红山学院,5,206832
05金融学,D497郑州财经学院,2,206886
24金融学,C309武昌首义学院,2,207643
C0金融学,D561新疆科技学院,10,207680
0M金融工程,E001聊城大学东昌学院,10,208493
01金融学,D579中国矿业大学徐海学院,4,209153
03金融学,E654郑州西亚斯学院,10,209461
08金融学,D999山东财经大学东方学院,22,209605
2H互联网金融,D988江苏师范大学科文学院,3,210124
02金融学,D471集美大学诚毅学院,2,210139
05金融工程,D989南京邮电大学通达学院,2,210294
05金融学,D441江西财经大学现代经济管理学院,4,210772
2E金融科技,D988江苏师范大学科文学院,3,211137
04金融工程,D904北京工业大学耿丹学院,1,211842
01金融工程,E043四川文化艺术学院,2,212347
01金融学类,A859天津天狮学院,2,213196
02金融学类,D414河北经贸大学经济管理学院,30,213528
22金融学类,D634武汉学院,5,214223
X1金融学,D558新疆理工学院,2,214354
02金融学类,D589重庆对外经贸学院,5,214406
16金融学,D236三峡大学科技学院,2,216145
01金融学,D571无锡太湖学院,5,216377
0H金融科技,D999山东财经大学东方学院,20,217577
29金融工程,E038天津仁爱学院,2,218553
12互联网金融,D290浙江工商大学杭州商学院,6,218937
01金融学类,D594河北地质大学华信学院,2,219134
0Y金融工程,C332烟台南山学院,24,219367
0R金融工程(校企合作，与青岛英谷教育公司合作),A454济宁学院,50,219492
0A金融学(校企合作，与北京中科特瑞公司合作),D999山东财经大学东方学院,40,219496
04金融学,D511兰州工商学院,2,219602
0W金融学(中外合作办学),B688山东工商学院,102,219969
02金融学,D383山东财经大学燕山学院,95,220358
08金融科技,D441江西财经大学现代经济管理学院,4,220939
01金融学,E333郑州升达经贸管理学院,4,221172
02金融学,D611蚌埠工商学院,4,221742
17金融工程,E202沧州交通学院,8,221849
08金融学,D242武汉工商学院,2,222574
01金融工程,E225河北东方学院,4,222607
01金融数学,A997昌吉学院,20,222697
10金融工程,B400西安培华学院,5,222765
17金融学,D238湖北工业大学工程技术学院,3,222798
01金融学,D431南昌交通学院,3,223270
0L金融学,B798武汉东湖学院,3,223734
12金融学,C619广州南方学院,1,224408
42金融学,D637温州商学院,1,224447
02经济与金融,E225河北东方学院,4,225673
12金融工程,E042西安科技大学高新学院,2,225694
17金融工程,C056南通理工学院,3,225719
04金融学,E037西南财经大学天府学院,12,226472
0L金融学类,D641桂林学院,4,226499
32金融学,D601长春工业大学人文信息学院,2,227162
10金融科技,D682西安工商学院,2,227163
24金融工程,D902广州新华学院,2,227682
08金融科技,D511兰州工商学院,2,227914
13金融工程,D681陕西科技大学镐京学院,2,228191
07经济与金融,C544宁夏理工学院,3,229386
14经济与金融,C713西安外事学院,4,229642
05金融数学(国际班),D675北京理工大学珠海学院,5,230233
0C经济与金融,D359烟台理工学院,34,230466
12金融工程,D995青岛工学院,15,230776
25金融工程,C796河北工程技术学院,5,231500
06经济与金融,D830广西外国语学院,1,232660
05金融工程,D830广西外国语学院,1,233886
0F金融学,D624泰山科技学院,23,235447
15金融学,D998齐鲁理工学院,38,236107
26互联网金融,D607吉林动画学院,4,236778
A2金融科技,D892三亚学院,3,237187
19金融工程(校企合作，与山东开创信息有限公司合作),E000潍坊理工学院,50,237952
05金融学,D894西安明德理工学院,4,238309
19金融工程,C843潍坊科技学院,64,238615
B2金融科技应用,C915上海中侨职业技术大学,3,239168
10互联网金融,D320青岛黄海学院,21,239612
11金融工程,D006山东英才学院,10,242821
2A金融学,D623长春大学旅游学院,5,244157
A3金融科技(跨境投融资),D892三亚学院,3,245131
6C互联网金融,D218大连财经学院,2,245480
36金融学,D600长春光华学院,10,245495
02金融学,A841辽宁对外经贸学院,11,245693
06金融管理,D387山东外国语职业技术大学,57,246946
10金融管理,D874山东外事职业大学,40,247117
0Q互联网金融,D378青岛城市学院,103,248118
1G金融工程,D015青岛恒星科技学院,55,250338
1E金融工程(国家留学基金委AISEC项目详见我校招生简章),D006山东英才学院,45,252116
