专业代号及名称,院校代号及名称,投档计划数,投档最低位次
47建筑环境与能源应用工程,A595桂林电子科技大学,2,104135
26建筑环境与能源应用工程,A463河南工业大学,2,104390
18建筑环境与能源应用工程,A361安徽理工大学,4,105464
1E建筑学,A076河北工程大学,3,106106
21建筑环境与能源应用工程,A081华北理工大学,5,111266
0F建筑环境与能源应用工程,A878安徽建筑大学,2,111693
D5建筑环境与能源应用工程,A360安徽工业大学,2,113004
0C建筑学,A128内蒙古工业大学,6,114606
45建筑学,A354嘉兴学院,2,114745
1Y建筑学,A434山东农业大学,45,114913
1T建筑电气与智能化,A430山东建筑大学,40,115504
18建筑环境与能源应用工程,A731兰州理工大学,2,115715
24建筑学,A679大理大学,2,119303
12建筑学,A084河北建筑工程学院,1,120188
1F建筑环境与能源应用工程(地方专项计划),A429青岛理工大学,30,120397
43建筑环境与能源应用工程,A154辽宁工业大学,1,121264
35建筑电气与智能化,A462郑州轻工业大学,5,122621
20建筑学,A219黑龙江科技大学,1,123362
20建筑学(中外合作办学),A430山东建筑大学,70,128049
64建筑环境与能源应用工程,B035沈阳大学,3,131496
0V建筑学,A435青岛农业大学,70,132856
34建筑环境与能源应用工程,A220东北石油大学,3,133571
1N建筑环境与能源应用工程,A094河北师范大学,6,133681
11建筑电气与智能化(济南走读),Y015山东建筑大学,10,137672
1C建筑学,A447聊城大学,33,137736
31建筑学,A419井冈山大学,4,139416
09建筑学,A452临沂大学,50,139740
0V建筑环境与能源应用工程,A076河北工程大学,2,139833
1C建筑环境与能源应用工程,A430山东建筑大学,70,140455
2A建筑学(地方专项计划),A447聊城大学,5,141526
35建筑学(中外合作办学),A191吉林建筑大学,3,143069
66建筑学(中外合作办学),A078华北水利水电大学,5,143892
42建筑学,A127内蒙古科技大学,4,148328
51建筑学,A347湖州师范学院,2,149519
37建筑学,B437长春工程学院,2,149663
12建筑环境与能源应用工程(济南走读),Y015山东建筑大学,15,149939
1Q建筑环境与能源应用工程,A676云南农业大学,1,154140
28建筑环境与能源应用工程(地方专项计划),A430山东建筑大学,20,156124
48建筑环境与能源应用工程,A354嘉兴学院,4,156565
26建筑学,A397武夷学院,1,159700
34建筑电气与智能化,A191吉林建筑大学,7,160715
0D建筑环境与能源应用工程,A435青岛农业大学,70,160717
2X建筑环境与能源应用工程,A452临沂大学,22,161733
0W建筑学,A879安徽科技学院,4,163283
20建筑学,A388福建工程学院,5,163823
52建筑学(中国传统建筑文化与技艺),B418北京城市学院,1,165078
1C建筑学,B067潍坊学院,36,167055
1J建筑环境与能源应用工程,A128内蒙古工业大学,4,168659
1B建筑学,B393昆明学院,2,169834
19历史建筑保护工程,B653南阳理工学院,3,170619
0P建筑电气与智能化,B104华北科技学院,10,170671
1P建筑学(中外合作办学),A429青岛理工大学,75,171778
39建筑学,B342湖南工程学院,4,173647
09建筑环境与能源应用工程,A191吉林建筑大学,13,174691
0N建筑学,A449滨州学院,27,176246
57建筑学,A483商丘师范学院,3,176275
10建筑电气与智能化,A084河北建筑工程学院,6,176647
11建筑学,B527湖南城市学院,2,177768
93建筑学,D534山西工学院,2,178938
28建筑环境与能源应用工程,B629北华航天工业学院,2,182576
05建筑学,A455菏泽学院,33,182683
26建筑环境与能源应用工程,A388福建工程学院,9,186171
1S建筑电气与智能化,A234哈尔滨学院,2,189516
0Y建筑学,A812吕梁学院,5,190170
51建筑学,B418北京城市学院,1,193121
28建筑环境与能源应用工程,B437长春工程学院,2,193151
0Z建筑类,B071新乡学院,6,196337
31建筑环境与能源应用工程,B070洛阳理工学院,4,198618
01建筑学,A908山东工艺美术学院,27,200502
0H建筑环境与能源应用工程,B517河南工程学院,3,201634
21建筑环境与能源应用工程,B527湖南城市学院,2,201883
BZ建筑学,A757塔里木大学,5,201915
0X建筑环境与能源应用工程,B802黑龙江工程学院,2,202008
08建筑环境与能源应用工程,B765河南城建学院,5,205388
24建筑环境与能源应用工程,B825桂林航天工业学院,2,205485
20土木工程(房屋建筑方向),B653南阳理工学院,5,206210
56建筑电气与智能化,A483商丘师范学院,3,207339
