专业代号及名称,院校代号及名称,投档计划数,投档最低位次
13土木工程,A537湖南农业大学,4,107054
88土木类,B535湖南工业大学,6,108053
10土木类,A460河南理工大学,3,108140
10土木类,A427济南大学,99,108371
1E土木工程,A430山东建筑大学,199,114574
33土木工程,B048金陵科技学院,1,114600
21土木类(地方专项计划),A427济南大学,21,115198
72土木工程(中外合作办学),A188东北电力大学,5,116046
0D土木工程(地方专项计划),A430山东建筑大学,20,116197
B0土木类,A407江西理工大学,3,116850
42土木工程,A154辽宁工业大学,2,117178
07土木工程,D021浙大城市学院,15,118573
19土木类,A405东华理工大学,10,121017
1M土木工程(济南走读),Y015山东建筑大学,15,122449
3J土木类,A077河北地质大学,3,122966
1N土木工程,B066烟台大学,95,123675
0J土木类,A555南华大学,20,126199
49土木工程(中外合作办学),A150大连交通大学,2,127559
23土木工程,A147辽宁工程技术大学,2,129299
Z1土木工程(中外合作办学),A674昆明理工大学,5,129504
63土木工程,B035沈阳大学,8,130105
R4土木工程,A201北华大学,3,131927
1S土木类(济南走读),Y016济南大学,35,132418
D5土木工程,A410江西农业大学,2,133580
3H土木类,A434山东农业大学,40,136208
0T土木工程(地方专项计划),A433山东理工大学,10,137753
1N土木工程,A676云南农业大学,1,137982
2Q土木工程,A433山东理工大学,164,141546
49土木工程,A220东北石油大学,12,143000
44土木工程,A596桂林理工大学,4,143597
24土木工程,A543湖南理工学院,2,147102
84土木工程,Y000哈尔滨理工大学,38,147105
71土木工程,A594广西科技大学,3,149560
3W土木类,A086河北农业大学,10,151705
02土木工程,A451鲁东大学,255,155529
20土木类(地方专项计划),A434山东农业大学,20,155532
27土木工程,B629北华航天工业学院,2,155556
5L土木工程(含职教师范),B318江西科技师范大学,2,155870
09土木工程,B775防灾科技学院,3,155872
52土木工程(中外合作办学),A150大连交通大学,4,156518
44土木工程,A232齐齐哈尔大学,3,156760
04土木工程,A191吉林建筑大学,15,157623
3C土木工程,A435青岛农业大学,196,160455
67土木工程,A113山西农业大学,6,160679
30土木工程,A452临沂大学,72,162631
0D土木工程,A128内蒙古工业大学,4,163015
0S土木工程(地方专项计划),A447聊城大学,10,163407
32土木工程,A419井冈山大学,4,163855
2X土木工程,A642重庆文理学院,3,164000
1Y土木工程,A447聊城大学,121,165598
7A土木类,A920湖北理工学院,2,165914
20土木类,B407北方民族大学,1,166111
01土木工程,B053徐州工程学院,3,166252
31土木工程,A352丽水学院,4,166482
01土木工程,B077长沙学院,2,167166
0X土木工程,A879安徽科技学院,2,167541
01土木工程,A084河北建筑工程学院,2,167843
LD土木工程,A742西北民族大学,6,167854
62土木工程(中外合作办学),A078华北水利水电大学,5,167896
14土木工程,A647长江师范学院,2,169654
