院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
青海民族大学,统计学,none,none,none,none,none,none,2,488,177027,none,none,公办,177027
上海财经大学浙江学院,经济统计学,2,495,180275,2,487,179052,2,489,175796,none,none,民办,178374
贵州师范学院,统计学,3,497,175541,3,489,175957,3,485,184076,none,none,公办,178525
安康学院,统计学,2,494,182253,2,486,181192,2,485,185420,none,none,公办,182955
南阳师范学院,统计学,8,493,184101,10,485,183531,10,484,186507,none,none,公办,184713
山东工商学院,应用统计学(校企合作，与青岛英谷教育科技公司合作),none,none,none,60,484,185881,none,none,none,none,none,公办,185881
白城师范学院,统计学,3,494,182959,5,485,184376,3,483,190438,none,none,公办,185924
贵州理工学院,应用统计学,2,492,186559,none,none,none,none,none,none,none,none,公办,186559
枣庄学院,经济统计学,none,none,none,40,484,186784,40,484,187897,none,none,公办,187341
济宁学院,应用统计学,40,493,184821,30,483,188673,50,480,195895,none,none,公办,189796
山东工商学院,统计学(校企合作，与青岛英谷教育科技公司合作),none,none,none,60,483,188170,60,482,192032,none,none,公办,190101
红河学院,应用统计学,2,490,190338,2,484,187056,3,480,197360,none,none,公办,191585
菏泽学院,统计学(校企合作，与北京中科特瑞科技公司合作),35,494,181278,50,481,193995,50,477,203975,none,none,公办,193083
周口师范学院,应用统计学,2,489,192269,2,482,191875,2,480,196550,none,none,公办,193565
长治学院,应用统计学,none,none,none,none,none,none,2,481,194557,none,none,公办,194557
浙江工商大学杭州商学院,经济统计学,2,489,192745,2,482,191518,2,478,201506,none,none,民办,195256
北京理工大学珠海学院,应用统计学,1,494,181595,2,478,199340,2,475,207714,none,none,民办,196216
潍坊学院,应用统计学(校企合作，与青岛英谷教育科技公司合作),none,none,none,75,481,192516,75,478,200967,none,none,公办,196742
宁夏师范学院,统计学,none,none,none,4,479,197271,none,none,none,none,none,公办,197271
喀什大学,经济统计学,7,485,200666,8,480,195225,20,476,206253,省重点,none,公办,200715
喀什大学,应用统计学,7,485,200904,10,479,197268,12,476,207207,省重点,none,公办,201793
宁夏师范学院,统计学(非师范),4,486,197529,none,none,none,3,475,207845,none,none,公办,202687
伊犁师范大学,应用统计学,11,484,202069,10,479,198379,10,475,208637,none,none,公办,203028
喀什大学,统计学,8,481,208562,9,480,196018,14,476,207039,省重点,none,公办,203873
浙江工商大学杭州商学院,应用统计学,none,none,none,3,477,203096,3,474,211224,none,none,民办,207160
天津财经大学珠江学院,经济统计学(数据工程),14,480,211194,14,476,204660,14,472,217454,none,none,民办,211103
成都锦城学院,经济统计学,none,none,none,none,none,none,3,473,214239,none,none,民办,214239
青岛滨海学院,经济统计学,none,none,none,29,469,222021,none,none,none,none,none,民办,222021
北京理工大学珠海学院,应用统计学(国际班),4,475,221882,5,468,224214,5,467,229273,none,none,民办,225123
青岛黄海学院,经济统计学,47,469,232502,40,468,224428,29,462,241560,none,none,民办,232830
