院校名称,专业,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质,平均最低投档线
新疆大学,通信工程,7,568,57243,2,565,42983,3,569,38034,211,一流大学,公办,46087
南昌航空大学,通信工程,2,576,47696,2,562,47079,2,562,45243,省重点,none,公办,46673
青岛大学,通信工程(地方专项计划),none,none,none,none,none,none,5,560,46907,省重点,none,公办,46907
哈尔滨理工大学,通信工程,3,577,46859,3,562,47038,2,559,48266,省重点,none,公办,47388
长春理工大学,通信工程,2,576,48401,2,560,49077,2,559,47836,省重点,none,公办,48438
华东交通大学,通信工程,3,576,48194,5,560,48553,5,558,49441,省重点,none,公办,48729
山东师范大学,通信工程(地方专项计划),9,569,55412,8,559,49820,8,560,46974,省重点,none,公办,50735
山东科技大学,通信工程,70,573,51481,62,558,50825,58,557,50215,省重点,none,公办,50840
延边大学,通信工程(中外合作办学),3,574,50605,3,556,53517,5,554,54901,211,一流学科,公办,53008
南京工程学院,通信工程,4,568,56518,2,556,53374,2,556,52160,none,none,公办,54017
湖南科技大学,通信工程,none,none,none,none,none,none,2,554,54898,省重点,none,公办,54898
西安石油大学,通信工程,1,566,59213,1,555,54778,1,556,51699,none,none,公办,55230
青岛科技大学,通信工程,26,569,55348,37,553,56367,40,551,57789,省重点,none,公办,56501
沈阳理工大学,通信工程,1,560,67258,1,548,63417,1,564,42668,省重点,none,公办,57781
兰州交通大学,轨道交通信号与控制,2,568,57339,2,551,58879,4,550,59485,省重点,none,公办,58568
兰州交通大学,通信工程,3,566,59945,3,549,61580,3,547,63906,省重点,none,公办,61810
大连工业大学,通信工程,1,565,61071,2,549,61457,3,546,64281,省重点,none,公办,62270
沈阳工业大学,通信工程,2,563,62705,2,549,62017,3,547,63622,省重点,none,公办,62781
华北理工大学,通信工程,3,563,62693,5,547,64264,none,none,none,省重点,none,公办,63479
辽宁科技大学,通信工程,1,560,67101,1,547,64984,1,546,65124,none,none,公办,65736
中北大学,轨道交通信号与控制,none,none,none,none,none,none,6,544,67087,省重点,none,公办,67087
河南工业大学,通信工程,2,554,75495,2,543,69822,2,543,69233,省重点,none,公办,71517
沈阳建筑大学,通信工程,1,555,73648,1,542,71898,1,542,70219,省重点,none,公办,71922
云南师范大学,通信工程,none,none,none,2,541,72948,none,none,none,省重点,none,公办,72948
安徽工业大学,通信工程,2,554,75140,2,540,73942,2,542,70350,省重点,none,公办,73144
金陵科技学院,通信工程,1,554,75053,1,543,70759,1,539,75776,none,none,公办,73863
湖南工商大学,通信工程,none,none,none,none,none,none,5,537,77944,none,none,公办,77944
河北科技大学,通信工程,8,552,78032,none,none,none,none,none,none,省重点,none,公办,78032
东莞理工学院,通信工程,2,551,79268,none,none,none,none,none,none,省重点,none,公办,79268
河南工业大学,轨道交通信号与控制,1,550,80530,none,none,none,none,none,none,省重点,none,公办,80530
北京石油化工学院,通信工程,2,549,81851,none,none,none,none,none,none,none,none,公办,81851
兰州理工大学,通信工程,2,547,84850,2,534,83374,2,535,81382,none,none,公办,83202
河北工程大学,通信工程,2,544,89995,2,533,85282,2,534,83256,省重点,none,公办,86178
西藏大学,通信工程,3,539,98201,3,531,88960,3,539,74706,211,一流学科,公办,87289
齐鲁工业大学,通信工程,62,539,97533,20,533,85996,52,534,82691,none,none,公办,88740
南京晓庄学院,通信工程,none,none,none,none,none,none,2,530,89182,none,none,公办,89182
烟台大学,通信工程,73,543,91573,65,529,91879,72,528,92480,省重点,none,公办,91977
广西师范大学,通信工程,4,538,99185,2,530,90492,2,527,94161,省重点,none,公办,94613
厦门理工学院,通信工程,none,none,none,none,none,none,3,526,96454,省重点,none,公办,96454
曲阜师范大学,通信工程,21,537,101306,22,527,96584,20,528,92571,省重点,none,公办,96820
南京理工大学紫金学院,通信工程,none,none,none,1,488,176256,1,589,21780,none,none,民办,99018
福建师范大学,通信工程(中外合作办学),8,541,94949,7,527,96531,7,521,106336,省重点,none,公办,99272
五邑大学,通信工程,1,532,109773,1,529,92409,1,526,97345,none,none,公办,99842
郑州轻工业大学,通信工程,4,533,108283,2,524,100547,2,525,98653,none,none,公办,102494
安徽建筑大学,通信工程,2,534,106458,2,524,101205,2,524,100796,省重点,none,公办,102820
曲阜师范大学,通信工程(地方专项计划),6,533,108317,6,522,105316,10,524,100924,省重点,none,公办,104852
山东理工大学,通信工程(地方专项计划),none,none,none,none,none,none,10,521,105383,省重点,none,公办,105383
东北石油大学,通信工程,6,530,112822,4,522,105285,4,521,105263,全国重点,none,公办,107790
山东理工大学,通信工程,103,531,111661,116,520,109039,108,521,105761,省重点,none,公办,108820
山东农业大学,通信工程,20,528,116851,30,518,111734,30,519,109464,省重点,none,公办,112683
鲁东大学,通信工程,47,529,114795,58,517,114359,68,516,115474,none,none,公办,114876
山东建筑大学,通信工程,66,527,118196,60,516,117189,39,516,115730,省重点,none,公办,117038
北华大学,通信工程,3,523,124932,3,513,122200,3,513,121646,省重点,none,公办,122926
湖南第一师范学院,通信工程,1,521,129562,2,515,118858,4,512,124291,none,none,公办,124237
长春大学,通信工程,4,522,127112,2,513,123082,2,512,123395,none,none,公办,124530
武汉工程大学邮电与信息工程学院,通信工程,1,562,64118,2,543,69760,7,461,243531,none,none,民办,125803
湖南理工学院,通信工程,3,522,127147,2,512,124209,2,511,126196,none,none,公办,125851
青岛理工大学,通信工程(校企合作，与青岛英谷教育公司合作),65,517,136037,70,511,125680,70,514,119054,省重点,none,公办,126924
闽江学院,通信工程,1,520,131806,1,508,132697,1,508,132745,省重点,none,公办,132416
黑龙江科技大学,通信工程,5,517,137336,3,508,132471,2,510,127919,省重点,none,公办,132575
合肥学院,通信工程,2,517,136596,2,506,136778,2,511,126539,none,none,公办,133304
山东建筑大学,通信工程(济南走读),none,none,none,none,none,none,10,507,133329,省重点,none,公办,133329
青岛农业大学,通信工程,70,517,135960,70,509,131644,none,none,none,省重点,none,公办,133802
齐鲁工业大学,通信工程(校企合作，与中兴协力教育科技集团合作),40,515,140711,80,505,139692,none,none,none,none,none,公办,140202
聊城大学,通信工程,108,512,145404,108,503,142729,108,505,138127,none,none,公办,142087
北华航天工业学院,通信工程,2,510,149663,1,504,141087,1,506,136067,none,none,公办,142272
广西科技大学,通信工程,3,512,146727,3,503,142804,3,503,142027,none,none,公办,143853
内蒙古科技大学,通信工程,4,513,144228,none,none,none,none,none,none,none,none,公办,144228
临沂大学,通信工程,40,511,147581,40,503,143346,92,503,142095,none,none,公办,144341
江苏师范大学,轨道交通信号与控制(中外合作办学),4,511,148722,4,501,148146,5,502,144412,省重点,none,公办,147093
防灾科技学院,通信工程,5,506,157676,3,502,145193,4,503,143337,none,none,公办,148735
