专业代号及名称,院校代号及名称,投档计划数,投档最低位次
0C国际经济与贸易,A741兰州财经大学,2,103825
2Y国际经济与贸易,A451鲁东大学,50,106196
04经济与贸易类,B532湖南财政经济学院,2,107369
02国际经济与贸易,B406甘肃政法大学,1,110994
4F国际经济与贸易(中外合作办学)(中美合作),B458上海电机学院,3,112585
02国际经济与贸易,A731兰州理工大学,2,114189
85经济与贸易类(经济学院),A240哈尔滨商业大学,15,114313
X2国际经济与贸易,A201北华大学,2,116673
0T国际经济与贸易,A431齐鲁工业大学,130,116791
2B国际经济与贸易,A596桂林理工大学,4,117572
6E国际经济与贸易,A531吉首大学,2,117698
2F国际经济与贸易,B726长春大学,1,119427
53国际经济与贸易,A113山西农业大学,2,119813
47国际经济与贸易,A190长春工业大学,2,120016
1H国际经济与贸易,B318江西科技师范大学,2,120774
0D贸易经济,A741兰州财经大学,2,122886
06国际经济与贸易,A433山东理工大学,78,123371
0G国际经济与贸易,A434山东农业大学,60,123390
02国际经济与贸易,B551重庆科技学院,2,124344
02贸易经济,E389成都师范学院,5,124654
3R国际经济与贸易,A435青岛农业大学,41,125684
2L国际经济与贸易,A452临沂大学,8,125947
A2国际经济与贸易,A149沈阳化工大学,1,127358
02国际经济与贸易,A232齐齐哈尔大学,1,129306
2P国际经济与贸易(高密校区),Y003青岛科技大学,63,130623
31国际经济与贸易,C034湖南第一师范学院,4,132999
02国际经济与贸易,A546衡阳师范学院,2,133178
0U国际经济与贸易,A588广东技术师范大学,5,135385
15国际经济与贸易,A399泉州师范学院,1,136009
08国际经济与贸易,A608广西民族大学,2,137223
41国际经济与贸易,A377滁州学院,1,137284
71国际经济与贸易,Y000哈尔滨理工大学,17,138580
42国际经济与贸易,A219黑龙江科技大学,2,138698
A3国际经济与贸易,A647长江师范学院,3,139303
38国际经济与贸易,B059合肥学院,2,141627
D3国际经济与贸易,A223黑龙江八一农垦大学,2,142519
30国际经济与贸易,A408景德镇陶瓷大学,1,142904
09国际经济与贸易,E100山东政法学院,30,143522
0Y国际经济与贸易,A551湖南科技学院,2,145785
0Y国际经济与贸易,B104华北科技学院,6,146529
76国际经济与贸易,B053徐州工程学院,5,148244
12国际经济与贸易,B319南昌工程学院,2,150124
02国际经济与贸易,B629北华航天工业学院,2,151674
23国际经济与贸易,A735甘肃中医药大学,2,151923
8B国际经济与贸易,A920湖北理工学院,2,157100
47国际经济与贸易,A482洛阳师范学院,6,157546
39国际经济与贸易,A397武夷学院,1,163839
02国际经济与贸易,A245哈尔滨金融学院,2,164336
01国际经济与贸易,D287湖州学院,2,164590
0B国际经济与贸易,B067潍坊学院,37,165400
02国际经济与贸易,B517河南工程学院,4,165778
05国际经济与贸易,B049淮阴工学院,2,167525
32国际经济与贸易,B418北京城市学院,1,167836
0H国际经济与贸易,B843九江学院,4,168211
21国际经济与贸易,A545湘南学院,2,169652
1M国际经济与贸易,B688山东工商学院,94,170497
54国际经济与贸易,A483商丘师范学院,1,171284
0Z国际经济与贸易,B510山东交通学院,45,176049
09国际经济与贸易,A548怀化学院,2,177068
24国际经济与贸易,A766新疆财经大学,10,180169
0X国际经济与贸易,E438山东管理学院,30,180340
33国际经济与贸易,A478周口师范学院,2,181249
25国际经济与贸易,A762新疆师范大学,21,182544
1D国际经济与贸易,A453泰山学院,50,182724
04国际经济与贸易,D469厦门大学嘉庚学院,4,183161
28国际经济与贸易,A479安阳师范学院,2,183378
1U国际经济与贸易(中外合作办学)(中美合作办学),B833上海杉达学院,1,184225
02国际经济与贸易,A101衡水学院,2,185150
0K国际经济与贸易,A448德州学院,40,185275
03国际经济与贸易,A381淮南师范学院,2,185303
01国际经济与贸易,D904北京工业大学耿丹学院,1,185537
08国际经济与贸易,B261吉林工商学院,2,185566
1D国际经济与贸易,D763福建江夏学院,3,185651
24国际经济与贸易(数字贸易),A448德州学院,40,189638
3G国际经济与贸易(中外合作办学)(中德合作),A434山东农业大学,60,190122
02国际经济与贸易,A375黄山学院,10,190733
42国际经济与贸易,A481南阳师范学院,10,191136
27国际经济与贸易,A649乐山师范学院,6,192134
0Z国际经济与贸易,C331山东女子学院,58,192505
84国际经济与贸易,D534山西工学院,2,194186
24国际经济与贸易,A192吉林化工学院,2,194804
40国际经济与贸易,A919平顶山学院,5,194924
0D经济与贸易类,B312龙岩学院,6,195620
0P国际经济与贸易,D898北京科技大学天津学院,2,196602
68国际经济与贸易,D744黑河学院,4,197787
0L国际经济与贸易,A758新疆农业大学,20,198816
20国际经济与贸易,D636上海外国语大学贤达经济人文学院,2,199781
24国际经济与贸易,D434赣南科技学院,2,199983
10国际经济与贸易,D658天津外国语大学滨海外事学院,1,200005
F1国际经济与贸易,A687红河学院,3,200037
1R国际经济与贸易(校企合作，与山东全通网融科技有限公司合作),A453泰山学院,60,201952
0H国际经济与贸易(校企合作，与山东全通网融科技有限公司合作),C331山东女子学院,45,204251
09国际经济与贸易,D987扬州大学广陵学院,2,204871
F0国际经济与贸易,D628新疆政法学院,9,205538
0A经济与贸易类,A758新疆农业大学,15,205698
03国际经济与贸易,D986江苏大学京江学院,1,206071
11贸易经济,A764伊犁师范大学,15,206659
Z1国际经济与贸易,D558新疆理工学院,3,206783
01国际经济与贸易,D578河北工程大学科信学院,2,207195
3T国际经济与贸易,A763喀什大学,16,207363
0S国际经济与贸易,D997青岛农业大学海都学院,14,208883
04国际经济与贸易,D436江西农业大学南昌商学院,1,209053
05国际经济与贸易,D999山东财经大学东方学院,10,209193
23国际经济与贸易,D673四川外国语大学成都学院,2,209214
D0国际经济与贸易,D561新疆科技学院,4,209691
1H国际经济与贸易,B122三江学院,2,210111
02国际经济与贸易,D843南京师范大学泰州学院,12,210140
04国际经济与贸易,D471集美大学诚毅学院,2,211104
01国际经济与贸易,D992常州大学怀德学院,2,211852
10国际经济与贸易,D429南昌大学科学技术学院,2,212270
F1国际经济与贸易,D903成都锦城学院,5,212434
05国际经济与贸易,C544宁夏理工学院,2,212462
06国际经济与贸易,D441江西财经大学现代经济管理学院,3,213821
03国际经济与贸易,C709厦门华厦学院,1,214838
0Q国际经济与贸易(中外合作办学),B688山东工商学院,43,215064
22国际经济与贸易,D262文华学院,2,216273
01国际经济与贸易,D383山东财经大学燕山学院,40,216543
