专业,院校名称,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质
历史学类,安徽大学,6,611,"20,032",6,594,"20,079",3,591,"20,425",211,一流学科,公办
数学类,安徽大学,4,609,"20,755",4,593,"20,733",4,590,"21,176",211,一流学科,公办
数字媒体技术(中外合作办学),安徽大学,7,581,"43,056",8,567,"41,553",9,565,"41,904",211,一流学科,公办
新闻传播学类,安徽大学,5,610,"20,101",7,594,"20,405",7,590,"21,260",211,一流学科,公办
信息安全,安徽大学,4,610,"20,514",6,593,"20,542",8,591,"20,453",211,一流学科,公办
应用统计学(中外合作办学),安徽大学,7,576,"47,816",8,566,"42,065",8,564,"42,644",211,一流学科,公办
应用物理学(中外合作办学),安徽大学,7,579,"44,784",8,560,"48,331",8,558,"49,662",211,一流学科,公办
英语,安徽大学,2,620,"15,160",3,601,"16,388",3,596,"17,239",211,一流学科,公办
中国语言文学类,安徽大学,3,612,"19,369",5,596,"18,697",5,595,"18,190",211,一流学科,公办
自动化类,安徽大学,10,607,"22,122",9,592,"21,475",none,none,none,211,一流学科,公办
纺织类,安徽工程大学,7,508,"154,036",7,499,"151,868",10,493,"165,238",省重点,none,公办
工业工程,安徽工程大学,5,527,"118,376",5,517,"115,529",5,515,"117,791",省重点,none,公办
工业设计,安徽工程大学,6,525,"122,511",6,513,"121,716",6,513,"122,049",省重点,none,公办
计算机科学与技术,安徽工程大学,4,543,"91,228",4,533,"85,885",4,537,"77,904",省重点,none,公办
食品科学与工程,安徽工程大学,5,525,"122,877",5,516,"117,039",7,512,"124,669",省重点,none,公办
统计学,安徽工程大学,3,536,"102,613",3,525,"100,114",3,523,"101,575",省重点,none,公办
应用化学,安徽工程大学,3,524,"124,506",3,515,"118,859",5,512,"123,712",省重点,none,公办
智能科学与技术,安徽工程大学,5,537,"101,187",5,525,"100,071",5,523,"102,530",省重点,none,公办
安全工程,安徽工业大学,2,548,"84,204",2,529,"92,894",2,525,"98,517",省重点,none,公办
材料成型及控制工程,安徽工业大学,3,542,"92,715",3,530,"90,400",3,520,"107,814",省重点,none,公办
材料类,安徽工业大学,3,538,"100,077",8,522,"104,968",7,515,"118,447",省重点,none,公办
财务管理,安徽工业大学,1,553,"76,736",1,540,"74,548",1,538,"76,088",省重点,none,公办
测控技术与仪器,安徽工业大学,2,550,"81,446",2,534,"83,918",2,537,"78,062",省重点,none,公办
车辆工程,安徽工业大学,2,547,"85,640",2,536,"80,616",2,533,"84,844",省重点,none,公办
电气工程及其自动化,安徽工业大学,2,558,"69,224",3,545,"67,540",3,545,"65,834",省重点,none,公办
电子信息工程,安徽工业大学,2,557,"71,456",3,544,"68,621",3,543,"69,371",省重点,none,公办
法学,安徽工业大学,3,553,"76,082",3,543,"70,897",3,542,"70,547",省重点,none,公办
