专业,院校名称,2020投档计划数,2020最低分,2020投档最低位次,2021投档计划数,2021最低分,2021投档最低位次,2022投档计划数,2022最低分,2022投档最低位次,特点,一流大学与一流学科,院校性质
动物医学,福建农林大学,2,568,"57,313",2,557,"52,016",7,550,"59,823",省重点,none,公办
风景园林(中外合作办学),福建农林大学,2,561,"65,347",2,547,"65,011",6,532,"87,088",省重点,none,公办
蜂学,福建农林大学,5,517,"137,087",4,507,"134,626",4,505,"137,706",省重点,none,公办
海洋科学,福建农林大学,none,none,none,none,none,none,6,514,"120,644",省重点,none,公办
环境工程,福建农林大学,2,547,"85,684",2,532,"87,927",2,529,"91,116",省重点,none,公办
林学类,福建农林大学,5,545,"89,258",13,528,"93,833",12,521,"105,978",省重点,none,公办
农学,福建农林大学,3,547,"85,746",5,534,"84,870",4,538,"77,384",省重点,none,公办
农业资源与环境,福建农林大学,3,538,"99,750",3,526,"97,053",3,521,"105,223",省重点,none,公办
农业资源与环境(中外合作办学),福建农林大学,2,529,"115,859",2,517,"114,794",2,512,"123,029",省重点,none,公办
轻化工程,福建农林大学,none,none,none,4,517,"114,267",7,505,"138,586",省重点,none,公办
设施农业科学与工程,福建农林大学,2,542,"92,623",none,none,none,none,none,none,省重点,none,公办
生态学(中外合作办学),福建农林大学,10,519,"132,689",12,506,"136,344",14,504,"141,789",省重点,none,公办
生物科学类,福建农林大学,9,548,"83,724",4,539,"75,618",4,542,"70,560",省重点,none,公办
生物信息学,福建农林大学,2,544,"90,530",2,531,"88,753",2,535,"81,482",省重点,none,公办
食品科学与工程,福建农林大学,2,558,"70,153",12,538,"77,485",7,532,"86,907",省重点,none,公办
食品营养与健康,福建农林大学,none,none,none,none,none,none,2,528,"93,172",省重点,none,公办
食品质量与安全,福建农林大学,none,none,none,none,none,none,3,530,"89,315",省重点,none,公办
水产养殖学,福建农林大学,8,519,"133,302",5,508,"132,797",5,508,"131,405",省重点,none,公办
园艺,福建农林大学,2,550,"80,666",9,532,"87,007",8,519,"110,375",省重点,none,公办
园艺(中外合作办学),福建农林大学,5,529,"115,040",5,514,"120,351",5,507,"133,519",省重点,none,公办
植物保护,福建农林大学,5,548,"84,392",5,532,"87,300",7,530,"90,149",省重点,none,公办
植物科学与技术,福建农林大学,6,541,"95,206",5,527,"96,115",5,521,"106,664",省重点,none,公办
智慧农业,福建农林大学,none,none,none,2,532,"87,175",2,531,"88,091",省重点,none,公办
财务管理,福建商学院,none,none,none,none,none,none,2,498,"155,271",none,none,公办
人力资源管理,福建商学院,none,none,none,none,none,none,2,485,"183,981",none,none,公办
材料类,福建师范大学,7,568,"57,356",4,549,"61,438",3,552,"56,543",省重点,none,公办
测控技术与仪器,福建师范大学,7,562,"64,574",4,552,"57,566",3,550,"59,863",省重点,none,公办
电子信息工程(中外合作办学),福建师范大学,none,none,none,7,530,"90,452",7,524,"99,941",省重点,none,公办
工商管理类,福建师范大学,6,582,"42,191",4,563,"45,160",4,558,"49,520",省重点,none,公办
计算机科学与技术(中外合作办学),福建师范大学,none,none,none,9,537,"78,654",7,535,"80,741",省重点,none,公办
经济学(含国家人才培养基地),福建师范大学,3,589,"35,189",none,none,none,none,none,none,省重点,none,公办
软件工程,福建师范大学,6,568,"56,825",4,558,"51,363",none,none,none,省重点,none,公办
数字媒体技术(中外合作办学),福建师范大学,5,563,"63,185",5,551,"59,961",5,544,"66,981",省重点,none,公办
通信工程(中外合作办学),福建师范大学,8,541,"94,949",7,527,"96,531",7,521,"106,336",省重点,none,公办
网络工程(中外合作办学),福建师范大学,5,551,"79,404",5,536,"80,204",5,535,"80,826",省重点,none,公办
学前教育(中外合作办学)(师范类),福建师范大学,8,538,"100,455",8,530,"91,381",7,535,"82,103",省重点,none,公办
英语,福建师范大学,4,595,"30,914",none,none,none,none,none,none,省重点,none,公办
英语(师范类),福建师范大学,none,none,none,4,580,"29,507",4,578,"29,635",省重点,none,公办
公共事业管理,福建医科大学,2,551,"80,166",2,537,"79,429",2,540,"73,953",省重点,none,公办
护理学,福建医科大学,2,561,"66,084",4,548,"63,428",3,547,"62,879",省重点,none,公办
基础医学,福建医科大学,2,584,"40,161",1,568,"40,598",1,562,"45,440",省重点,none,公办
口腔医学,福建医科大学,none,none,none,2,596,"18,860",2,599,"15,761",省重点,none,公办
临床药学,福建医科大学,2,593,"32,266",1,575,"33,686",2,567,"39,810",省重点,none,公办
临床医学,福建医科大学,7,602,"25,097",6,586,"25,367",6,584,"25,396",省重点,none,公办
麻醉学,福建医科大学,none,none,none,2,583,"27,180",2,581,"27,089",省重点,none,公办
生物制药,福建医科大学,2,587,"37,636",1,573,"35,502",none,none,none,省重点,none,公办
卫生检验与检疫,福建医科大学,2,574,"50,338",2,558,"51,131",2,554,"54,812",省重点,none,公办
药学,福建医科大学,2,583,"40,611",2,566,"41,869",2,562,"45,083",省重点,none,公办
医学检验技术,福建医科大学,none,none,none,2,563,"45,958",2,560,"47,651",省重点,none,公办
医学影像技术,福建医科大学,none,none,none,2,562,"46,792",2,560,"47,527",省重点,none,公办
应用心理学,福建医科大学,none,none,none,none,none,none,1,557,"50,172",省重点,none,公办
预防医学,福建医科大学,2,589,"35,001",2,571,"37,785",2,565,"41,646",省重点,none,公办
智能医学工程,福建医科大学,2,584,"40,408",2,567,"41,397",2,560,"46,667",省重点,none,公办
财务管理,福州大学,2,611,"19,852",2,595,"19,460",2,593,"19,153",211,一流学科,公办
电气工程及其自动化,福州大学,2,613,"18,783",2,597,"18,397",2,596,"17,423",211,一流学科,公办
电子信息工程(中外合作办学),福州大学,3,586,"38,218",4,571,"37,549",4,570,"37,213",211,一流学科,公办
电子信息类,福州大学,none,none,none,2,595,"19,412",2,592,"19,520",211,一流学科,公办
法学,福州大学,2,614,"18,171",3,598,"17,788",3,596,"17,634",211,一流学科,公办
高分子材料与工程,福州大学,2,608,"21,469",2,590,"22,820",2,585,"24,123",211,一流学科,公办
化学,福州大学,3,609,"20,707",3,591,"21,700",3,589,"21,626",211,一流学科,公办
会计学,福州大学,none,none,none,2,595,"19,255",2,594,"18,418",211,一流学科,公办
机械设计制造及其自动化,福州大学,2,608,"21,761",2,589,"23,014",2,588,"22,353",211,一流学科,公办
集成电路设计与集成系统,福州大学,2,610,"20,257",2,593,"20,689",2,590,"20,968",211,一流学科,公办
金融学,福州大学,2,611,"19,579",none,none,none,none,none,none,211,一流学科,公办
经济统计学,福州大学,2,610,"20,171",2,593,"21,038",2,590,"21,210",211,一流学科,公办
人工智能,福州大学,2,611,"19,957",2,595,"19,554",2,593,"19,227",211,一流学科,公办
软件工程,福州大学,2,614,"17,966",2,599,"17,365",2,599,"15,774",211,一流学科,公办
软件工程(中外合作办学),福州大学,3,591,"33,845",3,578,"31,579",3,574,"33,592",211,一流学科,公办
生物工程,福州大学,2,607,"22,022",3,588,"23,710",3,583,"25,456",211,一流学科,公办
数学类,福州大学,2,614,"17,949",2,595,"19,587",2,593,"19,425",211,一流学科,公办
数字媒体技术(中外合作办学),福州大学,4,587,"37,432",4,572,"36,580",4,571,"36,120",211,一流学科,公办
土木工程,福州大学,2,607,"22,025",4,585,"25,983",4,577,"30,843",211,一流学科,公办
应用心理学,福州大学,none,none,none,2,588,"24,006",2,588,"22,580",211,一流学科,公办
英语,福州大学,none,none,none,2,593,"20,701",2,586,"23,530",211,一流学科,公办
资源勘查工程,福州大学,3,595,"30,643",none,none,none,none,none,none,211,一流学科,公办
自动化(中外合作办学),福州大学,5,584,"40,400",5,569,"38,935",5,569,"37,593",211,一流学科,公办
电子信息科学与技术,阜阳师范大学,5,506,"158,124",5,498,"153,483",5,499,"151,547",none,none,公办
应用化学,阜阳师范大学,5,506,"158,065",5,503,"144,461",5,499,"151,039",none,none,公办
法学(卓越法律人才基地),复旦大学,3,680,509,3,662,677,2,659,575,"C9,985,211",一流大学,公办
工科试验班(新工科本研贯通),复旦大学,4,684,294,3,673,259,5,666,294,"C9,985,211",一流大学,公办
技术科学试验班(拔尖学生培养基地),复旦大学,none,none,none,15,667,457,15,661,490,"C9,985,211",一流大学,公办
经济管理试验班,复旦大学,2,683,328,2,675,213,2,668,226,"C9,985,211",一流大学,公办
经济学类(拔尖学生培养基地),复旦大学,9,684,319,10,670,352,10,664,358,"C9,985,211",一流大学,公办
人文科学试验班(拔尖学生培养基地),复旦大学,none,none,none,5,665,537,5,660,502,"C9,985,211",一流大学,公办
软件工程(国家示范性软件学院),复旦大学,1,684,315,none,none,none,none,none,none,"C9,985,211",一流大学,公办
社会科学试验班(含政治及行政学、国政等专业),复旦大学,none,none,none,5,661,771,5,655,780,"C9,985,211",一流大学,公办
数学类(拔尖学生培养基地),复旦大学,3,686,232,3,674,214,3,668,228,"C9,985,211",一流大学,公办
新闻传播学类(卓越新闻人才计划),复旦大学,4,679,527,4,663,632,3,657,661,"C9,985,211",一流大学,公办
口腔医学,复旦大学医学院,none,none,none,2,664,573,2,660,520,"C9,985,211",一流大学,公办
临床医学(5年制，卓越医生计划),复旦大学医学院,none,none,none,6,663,623,6,661,489,"C9,985,211",一流大学,公办
临床医学(8年制本博连读，卓越医生计划),复旦大学医学院,3,685,262,3,672,291,3,667,282,"C9,985,211",一流大学,公办
医学试验班(拔尖学生培养基地),复旦大学医学院,none,none,none,14,657,974,14,652,"1,035","C9,985,211",一流大学,公办
自然科学试验班(物理化学方向，拔尖学生培养基地),复旦大学,none,none,none,15,663,605,14,659,569,"C9,985,211",一流大学,公办
财务管理,甘肃民族师范学院,2,490,"190,513",2,484,"186,450",2,482,"192,724",none,none,公办
汉语言文学(师范类),甘肃民族师范学院,2,504,"162,318",2,496,"159,059",2,499,"152,153",none,none,公办
化学(师范类),甘肃民族师范学院,2,497,"176,566",2,489,"174,847",2,487,"179,912",none,none,公办
生物科学(师范类),甘肃民族师范学院,2,496,"178,208",2,490,"171,999",2,489,"175,650",none,none,公办
数学与应用数学(师范类),甘肃民族师范学院,2,489,"191,654",2,483,"188,448",2,483,"189,767",none,none,公办
物理学(师范类),甘肃民族师范学院,2,489,"192,348",2,483,"189,751",2,485,"185,031",none,none,公办
英语(师范类),甘肃民族师范学院,2,503,"164,676",2,493,"166,815",2,492,"168,493",none,none,公办
材料化学,甘肃农业大学,none,none,none,none,none,none,5,489,"174,438",省重点,none,公办
草业科学,甘肃农业大学,5,501,"168,582",5,492,"168,524",5,492,"168,930",省重点,none,公办
车辆工程,甘肃农业大学,none,none,none,none,none,none,6,488,"177,038",省重点,none,公办
动物科学,甘肃农业大学,5,501,"167,867",3,494,"163,632",none,none,none,省重点,none,公办
风景园林,甘肃农业大学,none,none,none,5,495,"161,276",8,494,"163,589",省重点,none,公办
汉语言文学,甘肃农业大学,6,523,"126,151",4,517,"115,484",5,517,"114,673",省重点,none,公办
机械设计制造及其自动化,甘肃农业大学,none,none,none,3,495,"160,237",none,none,none,省重点,none,公办
林学,甘肃农业大学,none,none,none,none,none,none,5,490,"173,428",省重点,none,公办
农林经济管理(基地班),甘肃农业大学,5,506,"158,376",5,496,"159,044",5,495,"161,508",省重点,none,公办
农学,甘肃农业大学,5,503,"163,999",10,494,"163,556",10,491,"170,727",省重点,none,公办
农业资源与环境,甘肃农业大学,5,502,"166,828",none,none,none,none,none,none,省重点,none,公办
设施农业科学与工程,甘肃农业大学,none,none,none,none,none,none,7,489,"174,422",省重点,none,公办
生物工程,甘肃农业大学,none,none,none,none,none,none,5,490,"172,924",省重点,none,公办
生物技术,甘肃农业大学,none,none,none,none,none,none,8,491,"169,682",省重点,none,公办
水土保持与荒漠化防治,甘肃农业大学,6,501,"167,352",5,493,"164,795",5,489,"174,084",省重点,none,公办
应用统计学,甘肃农业大学,none,none,none,none,none,none,5,492,"168,254",省重点,none,公办
园林,甘肃农业大学,6,502,"166,464",5,493,"165,369",6,491,"170,708",省重点,none,公办
园艺,甘肃农业大学,6,502,"166,811",8,493,"166,292",7,490,"171,954",省重点,none,公办
植物保护,甘肃农业大学,6,500,"169,859",6,493,"166,281",9,490,"172,743",省重点,none,公办
安全防范工程,甘肃农业大学,1,530,"112,926",1,536,"81,504",none,none,none,省重点,none,公办
财务管理,甘肃政法大学,none,none,none,1,518,"113,263",1,516,"116,591",none,none,公办
法学,甘肃政法大学,21,547,"85,361",21,539,"75,489",27,543,"68,931",none,none,公办
法学(涉外法治方向),甘肃农业大学,3,544,"90,023",3,538,"78,058",none,none,none,省重点,none,公办
法学(卓越法治基地实验班纪检方向),甘肃政法大学,none,none,none,none,none,none,2,553,"56,241",none,none,公办
法学(卓越法治基地实验班生态环境法治方向),甘肃政法大学,none,none,none,2,540,"74,467",2,548,"61,906",none,none,公办
法学(卓越法治基地实验班政府法治方向),甘肃政法大学,none,none,none,2,547,"64,401",2,554,"54,654",none,none,公办
法学(卓越法治基地实验班智慧法治方向),甘肃政法大学,none,none,none,2,546,"66,705",2,549,"61,346",none,none,公办
工商管理,甘肃政法大学,1,526,"121,179",1,514,"119,770",1,515,"118,233",none,none,公办
公安视听技术,甘肃政法大学,1,541,"94,328",none,none,none,none,none,none,none,none,公办
国际经济与贸易,甘肃政法大学,1,520,"131,843",1,524,"101,765",1,518,"110,994",none,none,公办
汉语言文学,甘肃政法大学,none,none,none,none,none,none,2,540,"73,548",none,none,公办
会计学,甘肃政法大学,2,526,"120,387",2,523,"104,100",2,518,"112,081",none,none,公办
计算机科学与技术,甘肃政法大学,1,534,"106,501",1,523,"102,792",1,523,"102,604",none,none,公办
金融学,甘肃政法大学,none,none,none,1,523,"103,880",1,523,"102,976",none,none,公办
经济统计学,甘肃政法大学,none,none,none,none,none,none,1,518,"112,009",none,none,公办
人工智能,甘肃政法大学,none,none,none,2,522,"104,340",2,517,"113,246",none,none,公办
人力资源管理,甘肃政法大学,2,526,"120,016",2,528,"94,282",2,524,"101,251",none,none,公办
社会工作,甘肃政法大学,none,none,none,1,525,"100,123",none,none,none,none,none,公办
市场营销,甘肃政法大学,none,none,none,none,none,none,1,516,"115,634",none,none,公办
数据科学与大数据技术,甘肃政法大学,none,none,none,none,none,none,1,521,"105,719",none,none,公办
思想政治教育,甘肃政法大学,1,536,"103,803",1,532,"87,830",1,539,"75,792",none,none,公办
网络安全与执法,甘肃政法大学,1,534,"107,289",none,none,none,none,none,none,none,none,公办
网络空间安全,甘肃政法大学,none,none,none,2,523,"102,415",2,523,"102,735",none,none,公办
网络与新媒体,甘肃政法大学,none,none,none,none,none,none,1,536,"80,381",none,none,公办
新闻学,甘肃政法大学,none,none,none,none,none,none,2,539,"75,625",none,none,公办
新闻学(法治新闻方向),甘肃政法大学,none,none,none,2,535,"82,655",none,none,none,none,none,公办
信息安全,甘肃政法大学,2,534,"106,274",2,521,"106,203",2,523,"102,497",none,none,公办
信息管理与信息系统,甘肃政法大学,1,524,"123,631",1,515,"118,940",1,521,"105,264",none,none,公办
刑事科学技术(物证鉴定技术方向),甘肃政法大学,2,552,"78,171",none,none,none,1,546,"64,468",none,none,公办
行政管理,甘肃政法大学,2,539,"98,880",2,526,"98,451",2,524,"100,570",none,none,公办
英语(法律英语方向),甘肃政法大学,2,538,"99,593",2,531,"89,785",2,532,"85,904",none,none,公办
英语(翻译方向),甘肃政法大学,1,532,"109,398",2,530,"91,496",2,525,"97,690",none,none,公办
侦查学,甘肃政法大学,2,558,"70,189",none,none,none,none,none,none,none,none,公办
政治学与行政学,甘肃政法大学,none,none,none,none,none,none,1,540,"74,152",none,none,公办
知识产权,甘肃政法大学,2,542,"93,700",2,533,"85,561",2,541,"72,319",none,none,公办
治安学,甘肃政法大学,1,539,"98,742",none,none,none,none,none,none,none,none,公办
公共事业管理,甘肃中医药大学,none,none,none,2,499,"152,711",2,497,"155,660",none,none,公办
国际经济与贸易,甘肃中医药大学,3,512,"145,652",3,502,"144,910",2,499,"151,923",none,none,公办
汉语言文学,甘肃中医药大学,none,none,none,none,none,none,2,501,"148,238",none,none,公办
护理学,甘肃中医药大学,2,519,"132,952",1,509,"131,199",2,508,"132,996",none,none,公办
健康服务与管理,甘肃中医药大学,3,500,"170,796",2,501,"148,530",2,498,"154,835",none,none,公办
康复治疗学,甘肃中医药大学,1,529,"114,638",1,517,"114,957",1,541,"71,348",none,none,公办
临床医学,甘肃中医药大学,2,558,"70,303",1,552,"58,285",2,552,"56,682",none,none,公办
软件工程,甘肃中医药大学,1,514,"141,480",1,507,"135,186",2,506,"136,570",none,none,公办
食品质量与安全,甘肃中医药大学,none,none,none,none,none,none,2,492,"167,625",none,none,公办
卫生检验与检疫,甘肃中医药大学,1,528,"116,902",1,517,"113,677",1,511,"125,291",none,none,公办
药学,甘肃中医药大学,1,524,"124,724",1,513,"121,803",1,514,"120,362",none,none,公办
医疗保险,甘肃中医药大学,none,none,none,2,495,"161,000",2,496,"158,377",none,none,公办
医学检验技术,甘肃中医药大学,1,551,"80,063",1,558,"51,113",1,557,"51,014",none,none,公办
医学信息工程,甘肃中医药大学,1,541,"95,137",1,525,"100,083",2,495,"160,763",none,none,公办
医学影像学,甘肃中医药大学,1,548,"83,468",1,543,"69,616",2,542,"70,192",none,none,公办
应用心理学,甘肃中医药大学,3,527,"118,147",2,518,"111,913",2,514,"120,441",none,none,公办
预防医学,甘肃中医药大学,1,551,"80,232",1,534,"83,865",2,527,"94,870",none,none,公办
运动康复,甘肃中医药大学,3,505,"160,845",3,500,"150,542",2,499,"152,199",none,none,公办
针灸推拿学,甘肃中医药大学,1,537,"101,487",1,531,"89,501",1,530,"90,473",none,none,公办
中草药栽培与鉴定,甘肃中医药大学,1,525,"122,139",1,515,"118,138",1,516,"116,238",none,none,公办
中西医临床医学,甘肃中医药大学,2,546,"87,204",1,548,"63,870",2,542,"70,962",none,none,公办
中药学,甘肃中医药大学,1,531,"112,162",1,519,"111,369",2,513,"121,418",none,none,公办
中药制药,甘肃中医药大学,1,519,"132,296",1,510,"128,153",2,508,"132,439",none,none,公办
中药资源与开发,甘肃中医药大学,none,none,none,1,503,"144,183",1,503,"142,977",none,none,公办
中医骨伤科学,甘肃中医药大学,1,537,"101,510",1,530,"90,262",1,529,"92,255",none,none,公办
中医康复学,甘肃中医药大学,none,none,none,none,none,none,2,523,"102,991",none,none,公办
中医学,甘肃中医药大学,1,553,"76,387",1,544,"68,310",1,545,"65,783",none,none,公办
中医学(5+3一体化),甘肃中医药大学,3,563,"63,620",3,555,"53,937",3,560,"47,362",none,none,公办
助产学,甘肃中医药大学,2,517,"135,868",2,506,"136,331",1,506,"136,708",none,none,公办
测绘工程,赣东学院,1,473,"225,497",2,478,"199,872",2,477,"204,373",none,none,公办
法学,赣东学院,2,489,"192,370",2,494,"163,707",2,497,"155,808",none,none,公办
工程管理,赣东学院,none,none,none,none,none,none,1,479,"198,738",none,none,公办
国际经济与贸易,赣东学院,2,481,"208,984",2,486,"181,619",none,none,none,none,none,公办
日语,赣东学院,none,none,none,none,none,none,2,482,"192,675",none,none,公办
软件工程,赣东学院,3,471,"228,238",2,481,"192,311",2,479,"199,042",none,none,公办
土木工程,赣东学院,2,471,"228,983",2,478,"200,001",1,477,"203,245",none,none,公办
材料成型及控制工程,赣南科技学院,none,none,none,2,477,"203,548",none,none,none,none,none,公办
电气工程及其自动化,赣南科技学院,none,none,none,none,none,none,2,479,"199,680",none,none,公办
电子商务,赣南科技学院,none,none,none,2,483,"187,914",2,479,"198,812",none,none,公办
工程造价,赣南科技学院,none,none,none,none,none,none,2,474,"210,871",none,none,公办
工商管理,赣南科技学院,none,none,none,2,484,"185,685",2,481,"195,404",none,none,公办
国际经济与贸易,赣南科技学院,3,482,"207,395",none,none,none,2,479,"199,983",none,none,公办
会计学,赣南科技学院,none,none,none,none,none,none,2,484,"185,953",none,none,公办
机械工程,赣南科技学院,4,469,"232,035",3,476,"204,523",2,475,"209,475",none,none,公办
计算机科学与技术,赣南科技学院,4,471,"229,242",3,481,"192,619",none,none,none,none,none,公办
矿物加工工程,赣南科技学院,none,none,none,none,none,none,2,479,"200,007",none,none,公办
通信工程,赣南科技学院,none,none,none,none,none,none,2,476,"207,128",none,none,公办
土木工程,赣南科技学院,4,468,"234,918",2,479,"198,401",none,none,none,none,none,公办
外国语言文学类,赣南科技学院,none,none,none,2,486,"182,864",none,none,none,none,none,公办
物联网工程,赣南科技学院,none,none,none,2,479,"197,799",2,479,"198,570",none,none,公办
冶金工程,赣南科技学院,none,none,none,2,479,"197,359",none,none,none,none,none,公办
材料化学,赣南师范大学,none,none,none,none,none,none,3,489,"174,980",none,none,公办
地理信息科学,赣南师范大学,none,none,none,1,524,"100,840",1,522,"103,786",none,none,公办
电子科学与技术,赣南师范大学,3,513,"144,122",none,none,none,2,510,"128,083",none,none,公办
电子信息工程,赣南师范大学,none,none,none,2,519,"110,235",3,515,"116,843",none,none,公办
法学,赣南师范大学,2,538,"100,640",2,526,"97,063",2,532,"86,965",none,none,公办
翻译,赣南师范大学,none,none,none,2,527,"95,317",none,none,none,none,none,公办
汉语国际教育(师范类),赣南师范大学,none,none,none,none,none,none,2,533,"85,121",none,none,公办
汉语言文学(师范类),赣南师范大学,3,553,"76,615",2,545,"67,240",4,545,"66,553",none,none,公办
化学(师范类),赣南师范大学,4,532,"110,124",none,none,none,4,524,"101,149",none,none,公办
环境科学,赣南师范大学,none,none,none,3,499,"153,068",2,498,"153,662",none,none,公办
会计学,赣南师范大学,2,529,"115,870",2,517,"114,245",2,515,"118,102",none,none,公办
计算机科学与技术,赣南师范大学,2,520,"130,471",4,512,"124,799",none,none,none,none,none,公办
教育技术学,赣南师范大学,2,528,"116,239",none,none,none,none,none,none,none,none,公办
教育技术学(师范类),赣南师范大学,none,none,none,2,520,"108,091",3,517,"113,358",none,none,公办
金融学,赣南师范大学,2,524,"123,675",2,519,"109,782",2,515,"117,428",none,none,公办
历史学(师范类),赣南师范大学,4,549,"82,388",2,537,"79,968",4,537,"78,653",none,none,公办
旅游管理,赣南师范大学,none,none,none,2,481,"192,827",2,493,"166,917",none,none,公办
人力资源管理,赣南师范大学,none,none,none,2,515,"119,355",2,512,"124,922",none,none,公办
人文地理与城乡规划,赣南师范大学,none,none,none,2,515,"119,237",2,510,"128,789",none,none,公办
日语,赣南师范大学,2,537,"102,368",2,521,"107,596",2,518,"111,519",none,none,公办
商务英语,赣南师范大学,none,none,none,2,526,"98,180",2,524,"100,730",none,none,公办
社会学,赣南师范大学,1,521,"129,508",2,514,"121,373",2,515,"118,645",none,none,公办
生物科学(师范类),赣南师范大学,2,541,"94,335",2,531,"88,668",3,528,"93,896",none,none,公办
市场营销,赣南师范大学,none,none,none,none,none,none,2,493,"165,142",none,none,公办
数据科学与大数据技术,赣南师范大学,none,none,none,2,522,"104,717",3,521,"105,387",none,none,公办
数学与应用数学(师范类),赣南师范大学,2,537,"101,647",2,525,"99,312",2,524,"100,712",none,none,公办
思想政治教育(师范类),赣南师范大学,3,545,"89,244",2,535,"83,209",4,534,"82,951",none,none,公办
物理学(师范类),赣南师范大学,none,none,none,none,none,none,3,517,"113,942",none,none,公办
小学教育(师范类),赣南师范大学,2,544,"90,403",none,none,none,2,530,"90,094",none,none,公办
新闻学,赣南师范大学,none,none,none,2,534,"83,773",2,531,"88,876",none,none,公办
学前教育(师范类),赣南师范大学,none,none,none,2,517,"115,240",none,none,none,none,none,公办
应用化学,赣南师范大学,none,none,none,3,520,"108,576",none,none,none,none,none,公办
应用心理学(师范类),赣南师范大学,2,534,"106,931",none,none,none,2,523,"101,410",none,none,公办
园艺,赣南师范大学,none,none,none,4,490,"173,555",2,495,"160,449",none,none,公办
法医学,赣南医学院,2,536,"103,308",2,529,"91,743",2,528,"92,662",none,none,公办
临床医学,赣南医学院,6,545,"88,842",6,535,"82,915",2,539,"74,404",none,none,公办
生物信息学,赣南医学院,none,none,none,none,none,none,2,475,"208,750",none,none,公办
预防医学,赣南医学院,2,537,"100,816",2,523,"103,799",2,518,"111,108",none,none,公办
制药工程,赣南医学院,none,none,none,none,none,none,2,511,"125,427",none,none,公办
财务管理,广东财经大学,2,593,"32,517",none,none,none,none,none,none,省重点,none,公办
财政学,广东财经大学,1,594,"31,005",none,none,none,none,none,none,省重点,none,公办
工商管理,广东财经大学,1,603,"24,412",1,584,"26,424",none,none,none,省重点,none,公办
供应链管理,广东财经大学,none,none,none,1,568,"40,673",1,562,"45,377",省重点,none,公办
国际经济与贸易,广东财经大学,none,none,none,1,576,"33,391",1,570,"36,607",省重点,none,公办
国际商务,广东财经大学,none,none,none,1,562,"46,661",1,561,"45,726",省重点,none,公办
汉语言文学,广东财经大学,1,589,"35,582",1,572,"36,422",1,568,"38,480",省重点,none,公办
华商学院会计学,广东财经大学,2,478,"214,287",none,none,none,none,none,none,省重点,none,公办
华商学院计算机科学与技术,广东财经大学,2,467,"237,426",none,none,none,none,none,none,省重点,none,公办
华商学院软件工程,广东财经大学,2,471,"229,164",none,none,none,none,none,none,省重点,none,公办
华商学院网络与新媒体,广东财经大学,1,493,"183,322",none,none,none,none,none,none,省重点,none,公办
会计学,广东财经大学,2,594,"31,389",none,none,none,none,none,none,省重点,none,公办
金融学,广东财经大学,2,591,"33,324",1,578,"31,668",none,none,none,省重点,none,公办
经济统计学,广东财经大学,2,585,"39,024",none,none,none,none,none,none,省重点,none,公办
经济学,广东财经大学,2,591,"33,433",none,none,none,none,none,none,省重点,none,公办
酒店管理,广东财经大学,1,576,"48,235",none,none,none,none,none,none,省重点,none,公办
劳动与社会保障,广东财经大学,1,582,"42,215",none,none,none,none,none,none,省重点,none,公办
商务英语,广东财经大学,1,591,"33,521",1,572,"36,780",1,567,"39,968",省重点,none,公办
统计学,广东财经大学,1,584,"39,879",none,none,none,none,none,none,省重点,none,公办
文化产业管理,广东财经大学,1,592,"33,277",none,none,none,none,none,none,省重点,none,公办
物流管理,广东财经大学,1,585,"39,309",none,none,none,none,none,none,省重点,none,公办
电气工程及其自动化,广东工业大学,none,none,none,none,none,none,2,571,"36,094",省重点,none,公办
电子科学与技术,广东工业大学,5,593,"32,486",5,575,"34,099",4,573,"34,387",省重点,none,公办
电子信息类,广东工业大学,6,594,"31,373",5,576,"32,841",4,574,"33,191",省重点,none,公办
工商管理类,广东工业大学,8,581,"43,067",8,562,"46,402",4,558,"49,722",省重点,none,公办
工业设计,广东工业大学,2,592,"33,007",2,572,"36,282",4,565,"41,773",省重点,none,公办
国际经济与贸易,广东工业大学,3,585,"39,058",2,573,"35,844",4,564,"42,868",省重点,none,公办
化学工程与工艺,广东工业大学,none,none,none,none,none,none,2,562,"45,087",省重点,none,公办
机械电子工程,广东工业大学,none,none,none,none,none,none,3,569,"37,507",省重点,none,公办
机械类,广东工业大学,5,592,"33,179",5,574,"34,497",4,571,"35,671",省重点,none,公办
计算机科学与技术,广东工业大学,none,none,none,none,none,none,3,576,"31,795",省重点,none,公办
计算机类,广东工业大学,4,597,"28,593",4,580,"29,482",4,579,"29,121",省重点,none,公办
自动化类,广东工业大学,4,594,"31,183",6,576,"32,614",4,574,"33,034",省重点,none,公办
船舶与海洋工程,广东海洋大学,4,539,"97,481",4,526,"98,146",2,523,"102,531",省重点,none,公办
大气科学,广东海洋大学,4,548,"83,973",4,535,"82,922",4,533,"84,786",省重点,none,公办
动物科学,广东海洋大学,1,547,"85,154",none,none,none,none,none,none,省重点,none,公办
动物医学,广东海洋大学,2,571,"54,029",3,555,"54,437",3,549,"60,520",省重点,none,公办
法学,广东海洋大学,none,none,none,2,545,"67,923",none,none,none,省重点,none,公办
港口航道与海岸工程,广东海洋大学,3,539,"98,483",4,524,"100,552",4,521,"105,711",省重点,none,公办
工程管理,广东海洋大学,none,none,none,1,528,"93,882",1,521,"106,157",省重点,none,公办
工商管理,广东海洋大学,none,none,none,none,none,none,2,528,"93,742",省重点,none,公办
工业工程,广东海洋大学,2,540,"96,020",2,526,"97,870",2,522,"104,060",省重点,none,公办
