山东省2020年普通类常规批第1次志愿投档情况表,,,,,,,,
专业,院校,普通类,,,,,,
,,计划数,投档计划数,投出数,最低分,最低位次,,
02中国语言文学类,A001北京大学,2,2,2,688,194,,
04历史学类,A001北京大学,1,1,1,692,119,,
05哲学类,A001北京大学,1,1,1,688,198,,
06社会学类,A001北京大学,1,1,1,687,206,,
07国际政治（国政、外交学、国际政经）,A001北京大学,2,2,2,687,219,,
08法学,A001北京大学,4,4,4,691,139,,
09信息管理与信息系统,A001北京大学,1,1,1,688,189,,
10新闻传播学类,A001北京大学,1,1,1,687,225,,
11经济学类,A001北京大学,5,7,7,692,105,,
12工商管理类,A001北京大学,3,4,4,697,45,,
13公共管理类,A001北京大学,1,1,1,687,222,,
15城乡规划,A001北京大学,1,1,1,688,188,,
30数学类,A001北京大学,3,4,4,693,80,,
31工科试验班类,A001北京大学,2,2,2,691,129,,
32物理学类,A001北京大学,3,4,4,693,95,,
33天文学,A001北京大学,2,2,2,691,125,,
34电子信息类,A001北京大学,3,5,5,693,97,,
35计算机类,A001北京大学,9,10,10,693,90,,
36化学类,A001北京大学,2,2,2,690,158,,
37生物科学类,A001北京大学,2,2,2,691,133,,
39地球物理学类,A001北京大学,1,1,1,692,109,,
40环境科学（环境、生态、地理与资源环境）,A001北京大学,2,2,2,690,145,,
42环境科学与工程类,A001北京大学,2,2,2,690,166,,
43心理学类,A001北京大学,2,2,2,692,118,,
45理科试验班类,A001北京大学,10,10,10,695,67,,
02社会科学试验班（管理学科类）,A002中国人民大学,7,7,7,674,878,,
03经济学类,A002中国人民大学,9,9,9,680,470,,
04新闻传播学类,A002中国人民大学,7,7,7,675,775,,
05工商管理类,A002中国人民大学,10,10,10,675,771,,
06金融学类,A002中国人民大学,8,8,8,682,380,,
08法学,A002中国人民大学,7,7,7,681,456,,
10国际政治（以学校公布分流专业为准）,A002中国人民大学,6,6,6,674,911,,
11人力资源管理（以学校公布分流专业为准）,A002中国人民大学,3,3,3,675,792,,
AA理科试验班,A002中国人民大学,19,19,19,677,685,,
0U测控技术与仪器（定向兵器工业）,A003清华大学,1,1,1,682,361,,
0Y核工程与核技术（定向中核）,A003清华大学,5,5,5,681,405,,
15理科试验班类（物理基础类）,A003清华大学,73,73,73,689,174,,
17文科试验班类（通用基础类）,A003清华大学,1,1,1,706,5,,
1M临床医学类,A003清华大学,2,3,3,695,59,,
01法学,A004北京交通大学,4,4,4,640,7047,,
02外国语言文学类,A004北京交通大学,4,4,4,637,8039,,
03新闻传播学类,A004北京交通大学,4,4,4,639,7343,,
04经济管理试验班,A004北京交通大学,12,12,12,640,7103,,
05电子信息类（通信与控制）,A004北京交通大学,17,17,17,644,5906,,
06计算机类,A004北京交通大学,9,9,9,650,4571,,
07软件工程,A004北京交通大学,6,8,8,646,5517,,
08交通运输类,A004北京交通大学,12,12,12,641,6948,,
09土木类（智慧建造与智能工程）,A004北京交通大学,18,18,18,631,10319,,
10机械类（智能制造与智能装备）,A004北京交通大学,16,16,16,636,8426,,
11电气类,A004北京交通大学,7,7,7,640,7143,,
12电气工程及其自动化（新能源国际班）,A004北京交通大学,3,3,3,640,7188,,
13理科试验班类,A004北京交通大学,9,9,9,642,6449,,
14建筑类,A004北京交通大学,5,8,8,634,9039,,
16纳米材料与技术(中外合作办学),A004北京交通大学,6,6,6,604,23823,,
17机械电子工程(中外合作办学),A004北京交通大学,6,6,6,602,25281,,
18交通运输(中外合作办学),A004北京交通大学,6,6,6,613,18667,,
22机械类,A005北京工业大学,3,3,3,626,12317,,
24材料类（实验班）,A005北京工业大学,3,3,3,621,14600,,
25土木类,A005北京工业大学,3,3,3,621,14381,,
27土木工程（茅以升班）,A005北京工业大学,2,2,2,623,13337,,
29建筑学,A005北京工业大学,3,3,3,625,12421,,
40物联网工程(中外合作办学),A005北京工业大学,5,5,5,598,28005,,
41软件工程(中外合作办学),A005北京工业大学,6,6,6,600,26777,,
42电子信息工程(中外合作办学),A005北京工业大学,4,4,4,600,26757,,
01理科试验班类（高等理工学院）,A006北京航空航天大学,7,7,7,678,614,,
02理科试验班类（中法工程师学院）,A006北京航空航天大学,7,7,7,673,953,,
03工科试验班类（国际通用工程学院）,A006北京航空航天大学,3,3,3,675,815,,
04工科试验班类（医工交叉试验班）,A006北京航空航天大学,2,2,2,675,790,,
05工科试验班类（航空H航天类）,A006北京航空航天大学,55,55,55,671,1114,,
06工科试验班类（信息类）,A006北京航空航天大学,52,52,52,673,940,,
01理科试验班（徐特立英才班）（徐特立英才班）,A007北京理工大学,15,15,15,671,1190,,
02工科试验班（宇航与机电类）（宇航与机电类）,A007北京理工大学,23,23,23,666,1774,,
03工科试验班（智能制造与车辆实验班）（智能制造与车辆实验班）,A007北京理工大学,19,19,19,665,1874,,
04工科试验班（信息科学技术）（信息科学技术）,A007北京理工大学,36,36,36,666,1744,,
05工科试验班（电子信息实验班）（电子信息实验班）,A007北京理工大学,20,20,20,666,1731,,
01理科试验班,A008北京科技大学,6,6,6,642,6581,,
02工科试验班类（卓越计划）,A008北京科技大学,9,9,9,637,8151,,
03材料科学与工程,A008北京科技大学,16,16,16,629,10859,,
04工商管理类,A008北京科技大学,9,9,9,633,9314,,
05管理科学与工程类,A008北京科技大学,6,6,6,631,10271,,
06机械类,A008北京科技大学,17,17,17,627,11688,,
07能源动力类,A008北京科技大学,11,11,11,629,11079,,
08自动化类,A008北京科技大学,17,17,17,634,9190,,
09计算机类,A008北京科技大学,10,10,10,641,6789,,
10通信工程,A008北京科技大学,6,6,6,633,9480,,
11冶金工程,A008北京科技大学,9,9,9,625,12601,,
12土木类,A008北京科技大学,9,9,9,624,12993,,
13安全工程,A008北京科技大学,2,2,2,629,11151,,
14矿业类,A008北京科技大学,7,7,7,619,15491,,
15数学类,A008北京科技大学,5,5,5,632,9727,,
16应用物理学,A008北京科技大学,3,3,3,631,10090,,
17应用化学,A008北京科技大学,3,3,3,629,11123,,
18生物技术,A008北京科技大学,3,3,3,629,11128,,
23社会科学试验班,A008北京科技大学,11,11,11,628,11425,,
24外国语言文学类,A008北京科技大学,8,8,8,626,12042,,
01经济与金融,A009北方工业大学,1,1,1,613,18763,,
04知识产权,A009北方工业大学,1,1,1,614,18185,,
05汉语言文学,A009北方工业大学,2,2,2,600,27052,,
06英语,A009北方工业大学,2,2,2,596,30037,,
07日语,A009北方工业大学,1,1,1,594,31627,,
08广告学,A009北方工业大学,2,2,2,594,31714,,
09信息与计算科学,A009北方工业大学,4,4,4,594,30953,,
0D机械电子工程,A009北方工业大学,4,4,4,595,30800,,
0E工业设计,A009北方工业大学,2,2,2,598,28248,,
0H电气工程及其自动化,A009北方工业大学,5,5,5,597,29110,,
0K电子信息工程（理工科实验班）,A009北方工业大学,1,1,1,601,25850,,
0L通信工程,A009北方工业大学,2,2,2,598,28230,,
0R计算机科学与技术（创新实验班）,A009北方工业大学,1,2,2,607,22055,,
0S信息安全,A009北方工业大学,4,4,4,595,30840,,
0Y城市地下空间工程（智慧城市）,A009北方工业大学,2,2,2,591,33934,,
0Z智能建造,A009北方工业大学,3,3,3,590,34515,,
10交通设备与控制工程（智能交通）,A009北方工业大学,3,3,3,591,33313,,
11建筑学,A009北方工业大学,2,2,2,595,30921,,
12城乡规划,A009北方工业大学,2,2,2,592,33107,,
16会计学,A009北方工业大学,2,2,2,599,27774,,
1A机械设计制造及其自动化（创新实验班）,A009北方工业大学,2,3,3,599,27709,,
0V数据科学与大数据技术(中外合作办学),A009北方工业大学,3,3,3,579,44595,,
01工科试验班（绿色化工与新能源类）,A010北京化工大学,15,15,15,621,14531,,
02环境工程,A010北京化工大学,4,4,4,614,18235,,
03工科试验班（高材精英班）,A010北京化工大学,2,2,2,630,10404,,
04材料类（先进材料及绿色制造）,A010北京化工大学,27,27,27,615,17478,,
06生物工程类（绿色生物制造与生物安全）,A010北京化工大学,6,6,6,615,17281,,
07制药工程,A010北京化工大学,4,4,4,618,15673,,
09化学类,A010北京化工大学,11,11,11,617,16354,,
10数学类,A010北京化工大学,4,4,4,619,15435,,
11电子科学与技术,A010北京化工大学,4,4,4,623,13480,,
12机械类（高端装备与智能制造、机器人）,A010北京化工大学,18,18,18,616,17028,,
14自动化类,A010北京化工大学,15,15,15,618,15650,,
15计算机类,A010北京化工大学,9,9,9,620,14829,,
16人工智能,A010北京化工大学,3,3,3,622,13788,,
17国际经济与贸易,A010北京化工大学,3,3,3,614,18089,,
18工商管理类,A010北京化工大学,4,4,4,617,16581,,
19管理科学与工程类,A010北京化工大学,4,4,4,616,16888,,
20法学,A010北京化工大学,4,4,4,617,16631,,
21英语,A010北京化工大学,2,2,2,615,17567,,
22公共管理类,A010北京化工大学,3,3,3,613,18808,,
24机械设计制造及其自动化(中外合作办学)（中美双学位、机器人方向）,A010北京化工大学,5,5,5,594,31379,,
25生物工程(中外合作办学)（中美双学位、生物过程工程）,A010北京化工大学,6,6,6,586,38478,,
26工业设计(中外合作办学)（中意设计双学位）,A010北京化工大学,3,3,3,589,35397,,
27化工与制药类(中外合作办学)（中法精英工程教育试验班）,A010北京化工大学,6,6,6,591,34080,,
03经济与贸易类,A011北京工商大学,5,5,5,599,27735,,
04工商管理类,A011北京工商大学,5,5,5,597,29194,,
05会计学（智能会计）,A011北京工商大学,5,5,5,602,25450,,
08经济学类（经管类）,A011北京工商大学,5,5,5,601,25988,,
09物流管理与工程类,A011北京工商大学,5,5,5,591,33516,,
0F电子信息类（自动化与电气工程类）,A011北京工商大学,5,5,5,592,32858,,
0H机械类,A011北京工商大学,5,5,5,585,39101,,
0J计算机类,A011北京工商大学,5,5,5,595,30197,,
0K大数据管理与应用,A011北京工商大学,5,5,5,594,31204,,
0N材料类,A011北京工商大学,5,5,5,584,40008,,
0Q应用化学,A011北京工商大学,5,5,5,587,37202,,
0T酿酒工程,A011北京工商大学,5,5,5,578,45920,,
0W应用统计学(中外合作办学)（风险与精算）,A011北京工商大学,5,5,5,571,53435,,
0X食品科学与工程(中外合作办学),A011北京工商大学,5,5,5,570,54777,,
01服装设计与工程,A012北京服装学院,5,5,5,571,53103,,
02工业设计,A012北京服装学院,1,1,1,582,41523,,
03高分子材料与工程,A012北京服装学院,7,7,7,540,96056,,
04轻化工程,A012北京服装学院,6,6,6,535,105111,,
05传播学,A012北京服装学院,2,2,2,573,51971,,
06广告学,A012北京服装学院,2,2,2,572,52828,,
07国际经济与贸易,A012北京服装学院,2,2,2,560,66712,,
08工商管理类,A012北京服装学院,6,6,6,558,69755,,
09信息管理与信息系统,A012北京服装学院,2,2,2,551,79720,,
01通信工程（大类招生）,A013北京邮电大学,20,20,20,658,2869,,
02电子信息类,A013北京邮电大学,15,15,15,656,3338,,
03计算机类,A013北京邮电大学,17,17,17,661,2478,,
04软件工程,A013北京邮电大学,6,6,6,656,3232,,
05网络空间安全（大类招生）,A013北京邮电大学,5,5,5,660,2619,,
06人工智能（大类招生）,A013北京邮电大学,13,13,13,657,3139,,
07自动化类,A013北京邮电大学,3,3,3,656,3384,,
0A机械工程（机器人试验班）,A013北京邮电大学,4,4,4,653,3986,,
0B电子商务,A013北京邮电大学,2,2,2,651,4365,,
0D工商管理类,A013北京邮电大学,3,3,3,650,4458,,
0F理科试验班（数学与信息科学）,A013北京邮电大学,6,6,6,655,3593,,
0G应用物理学,A013北京邮电大学,2,2,2,652,4080,,
0H英语,A013北京邮电大学,4,4,4,636,8591,,
0J日语,A013北京邮电大学,3,3,3,637,8266,,
0K法学,A013北京邮电大学,2,2,2,646,5596,,
0L科技与创意设计试验班,A013北京邮电大学,4,4,4,654,3706,,
11新闻传播学类,A015北京印刷学院,5,5,5,574,50529,,
12机械类,A015北京印刷学院,6,6,6,539,97669,,
13计算机类,A015北京印刷学院,10,10,10,542,93002,,
14轻工类,A015北京印刷学院,8,8,8,545,89269,,
15工商管理类,A015北京印刷学院,2,2,2,560,67583,,
16编辑出版学（韬奋实验班）,A015北京印刷学院,2,2,2,581,42971,,
22物流工程,A015北京印刷学院,3,3,3,546,87624,,
01建筑学（实验班）,A016北京建筑大学,1,1,1,620,15162,,
02建筑类,A016北京建筑大学,1,1,1,618,15711,,
05智能建造,A016北京建筑大学,1,1,1,595,30830,,
06土木工程（实验班）,A016北京建筑大学,1,1,1,596,29487,,
07土木工程,A016北京建筑大学,2,2,2,596,29613,,
08交通工程,A016北京建筑大学,1,1,1,593,32348,,
09建筑环境与能源应用工程,A016北京建筑大学,2,2,2,591,33941,,
10给排水科学与工程,A016北京建筑大学,3,3,3,591,33884,,
14自动化类,A016北京建筑大学,2,2,2,595,30549,,
15建筑电气与智能化,A016北京建筑大学,1,1,1,596,30076,,
16管理科学与工程类（项目管理与造价类）,A016北京建筑大学,3,3,3,591,33687,,
17城市管理（实验班）,A016北京建筑大学,1,1,1,597,29026,,
19测绘工程（智能导航实验班）,A016北京建筑大学,4,4,4,589,35751,,
01化学工程与工艺,A017北京石油化工学院,9,9,9,545,87817,,
02制药工程,A017北京石油化工学院,9,9,9,540,97183,,
03生物制药,A017北京石油化工学院,2,2,2,545,88219,,
04机械工程,A017北京石油化工学院,2,2,2,545,88535,,
05机械电子工程,A017北京石油化工学院,2,2,2,543,91350,,
06环境工程,A017北京石油化工学院,6,6,6,542,93959,,
08油气储运工程,A017北京石油化工学院,2,2,2,542,93937,,
09机器人工程,A017北京石油化工学院,2,2,2,560,66985,,
10电气工程及其自动化,A017北京石油化工学院,4,4,4,548,83727,,
11通信工程,A017北京石油化工学院,2,2,2,549,81851,,
12计算机科学与技术,A017北京石油化工学院,3,3,3,560,67437,,
13数据科学与大数据技术,A017北京石油化工学院,3,3,3,560,66858,,
14物联网工程,A017北京石油化工学院,2,2,2,552,78302,,
15自动化,A017北京石油化工学院,4,4,4,551,78942,,
26高分子材料与工程,A017北京石油化工学院,5,5,5,538,99455,,
27安全工程（实验室管理）,A017北京石油化工学院,5,5,5,538,99141,,
03农学,A019中国农业大学,4,4,4,636,8299,,
04园艺,A019中国农业大学,3,3,3,633,9467,,
06植物保护,A019中国农业大学,3,3,3,635,8901,,
07生物科学类,A019中国农业大学,4,4,4,645,5772,,
08环境科学与工程类,A019中国农业大学,5,5,5,638,7809,,
10动物科学,A019中国农业大学,3,3,3,636,8454,,
11动物医学,A019中国农业大学,3,3,3,639,7352,,
12食品科学与工程类,A019中国农业大学,8,8,8,642,6493,,
13农业工程类,A019中国农业大学,3,3,3,633,9487,,
14机械类,A019中国农业大学,8,8,8,633,9488,,
16计算机类,A019中国农业大学,3,3,3,645,5808,,
18化学类,A019中国农业大学,5,5,5,633,9324,,
21经济学类,A019中国农业大学,4,4,4,645,5817,,
22工商管理类,A019中国农业大学,5,5,5,639,7501,,
23法学,A019中国农业大学,3,3,3,642,6643,,
24社会学,A019中国农业大学,2,2,2,640,7021,,
25英语,A019中国农业大学,2,2,2,636,8468,,
26传播学,A019中国农业大学,2,2,2,639,7582,,
27农村区域发展,A019中国农业大学,4,4,4,638,7732,,
32水产养殖学,A019中国农业大学,90,90,90,579,45017,,
33设施农业科学与工程,A019中国农业大学,90,90,90,584,40288,,
34市场营销,A019中国农业大学,150,150,150,584,40193,,
35公共事业管理,A019中国农业大学,120,120,120,591,33812,,
36理科试验班类（生命科学）,A019中国农业大学,2,2,2,655,3563,,
37理科试验班（信息科学）,A019中国农业大学,2,2,2,649,4793,,
39地理科学类,A019中国农业大学,3,3,3,636,8316,,
40水利类,A019中国农业大学,7,7,7,630,10416,,
42电子信息类,A019中国农业大学,8,8,8,642,6442,,
29国际经济与贸易(中外合作办学),A019中国农业大学,7,7,7,610,20224,,
30传播学(中外合作办学),A019中国农业大学,3,3,3,611,19545,,
31农林经济管理(中外合作办学),A019中国农业大学,6,6,6,605,23140,,
01生物工程,A020北京农学院,2,2,2,551,79336,,
02应用化学,A020北京农学院,3,3,3,542,92755,,
05农学（作物遗传育种）,A020北京农学院,3,3,3,547,84928,,
06园艺,A020北京农学院,8,8,8,539,97703,,
08动物医学,A020北京农学院,2,2,2,562,64223,,
11工商管理,A020北京农学院,2,2,2,558,70234,,
19食品科学与工程,A020北京农学院,4,4,4,545,88793,,
20食品质量与安全,A020北京农学院,4,4,4,544,90589,,
21酿酒工程,A020北京农学院,2,2,2,542,93222,,
24法学,A020北京农学院,2,2,2,563,63119,,
25社会工作,A020北京农学院,2,2,2,556,73004,,
26农村区域发展（规划）,A020北京农学院,2,2,2,546,87339,,
27会展经济与管理（策划与设计）,A020北京农学院,2,2,2,543,91995,,
29食品科学与工程(中外合作办学),A020北京农学院,2,2,2,535,104363,,
30农业资源与环境(中外合作办学),A020北京农学院,3,3,3,521,129563,,
03林学类,A022北京林业大学,8,8,8,613,18413,,
05水土保持与荒漠化防治,A022北京林业大学,5,5,5,606,22640,,
06自然地理与资源环境,A022北京林业大学,3,3,3,619,15484,,
07土木工程,A022北京林业大学,4,4,4,611,19903,,
08生物科学类,A022北京林业大学,5,5,5,619,15602,,
09食品科学与工程,A022北京林业大学,5,5,5,615,17675,,
11风景园林,A022北京林业大学,6,6,6,629,10803,,
12园林,A022北京林业大学,8,8,8,613,18373,,
13城乡规划,A022北京林业大学,2,2,2,625,12714,,
14园艺（观赏园艺方向）,A022北京林业大学,3,3,3,613,18818,,
15旅游管理,A022北京林业大学,3,3,3,614,18200,,
17统计学,A022北京林业大学,2,2,2,621,14643,,
18国际经济与贸易,A022北京林业大学,4,4,4,617,16187,,
19金融学,A022北京林业大学,4,4,4,623,13476,,
20工商管理类,A022北京林业大学,10,10,10,616,16784,,
21信息管理与信息系统（管理信息方向）,A022北京林业大学,3,3,3,614,17970,,
23机械设计制造及其自动化,A022北京林业大学,5,5,5,612,19110,,
24车辆工程,A022北京林业大学,4,4,4,610,20459,,
25自动化,A022北京林业大学,3,3,3,617,16270,,
26电气工程及其自动化,A022北京林业大学,4,4,4,618,16008,,
27林业工程类,A022北京林业大学,9,9,9,604,24134,,
28包装工程,A022北京林业大学,2,2,2,607,21847,,
30法学,A022北京林业大学,5,5,5,621,14611,,
31应用心理学,A022北京林业大学,2,2,2,621,14534,,
32英语,A022北京林业大学,3,3,3,617,16438,,
33商务英语,A022北京林业大学,2,2,2,618,15983,,
34日语,A022北京林业大学,3,3,3,611,20033,,
35计算机类,A022北京林业大学,8,8,8,620,14886,,
36信息管理与信息系统,A022北京林业大学,3,3,3,615,17493,,
37数学与应用数学,A022北京林业大学,3,3,3,618,15655,,
38电子信息科学与技术,A022北京林业大学,2,2,2,619,15235,,
40野生动物与自然保护区管理（森林康养方向）,A022北京林业大学,2,2,2,613,18529,,
42环境科学,A022北京林业大学,2,2,2,615,17337,,
43环境工程,A022北京林业大学,2,2,2,617,16620,,
44给排水科学与工程,A022北京林业大学,2,2,2,609,20760,,
45草业科学（草坪科学与管理方向）,A022北京林业大学,2,2,2,605,23577,,
10生物技术(中外合作办学),A022北京林业大学,2,3,3,584,40489,,
29木材科学与工程(中外合作办学),A022北京林业大学,3,3,3,579,45203,,
01护理学,A023北京协和医学院,12,12,12,602,25139,,
04临床医学,A025首都医科大学,5,5,5,659,2710,,
05精神医学,A025首都医科大学,3,3,3,636,8566,,
07口腔医学,A025首都医科大学,1,1,1,663,2169,,
09基础医学,A025首都医科大学,2,2,2,631,10242,,
10预防医学,A025首都医科大学,2,2,2,629,10795,,
12临床药学,A025首都医科大学,2,2,2,632,9665,,
14假肢矫形工程,A025首都医科大学,2,2,2,606,22895,,
15生物医学工程,A025首都医科大学,2,2,2,632,9685,,
16康复治疗学,A025首都医科大学,2,2,2,626,12309,,
19护理学,A025首都医科大学,3,3,3,610,20338,,
20助产学,A025首都医科大学,2,2,2,608,21497,,
9M临床医学（5+3一体化）,A025首都医科大学,5,5,5,668,1506,,
9N儿科学（5+3一体化）,A025首都医科大学,2,2,2,652,4117,,
9P口腔医学（5+3一体化）,A025首都医科大学,1,1,1,664,1957,,
01中医学（领军人才培养计划）,A026北京中医药大学,2,2,2,671,1115,,
02中西医临床医学（华佗班）,A026北京中医药大学,2,2,2,643,6431,,
03中医学（卓越中医班5+3一体化）,A026北京中医药大学,7,7,7,649,4870,,
04中医学（卓越中医京华班5+3一体化）,A026北京中医药大学,1,1,1,670,1293,,
05中医学（卓越中西医班5+3一体化）,A026北京中医药大学,2,2,2,644,6098,,
06中医学（卓越中医儿科班5+3一体化）,A026北京中医药大学,1,1,1,642,6533,,
07中医学（卓越针推班5+3一体化）,A026北京中医药大学,1,1,1,646,5528,,
08中医学（卓越中医骨伤班5+3一体化）,A026北京中医药大学,1,1,1,640,7093,,
09中医学,A026北京中医药大学,11,11,11,629,10902,,
10中医学（实验班）,A026北京中医药大学,6,6,6,639,7375,,
11针灸推拿学,A026北京中医药大学,10,10,10,618,15793,,
12中药学,A026北京中医药大学,10,10,10,615,17554,,
13中药制药,A026北京中医药大学,3,3,3,613,18561,,
14药学,A026北京中医药大学,1,1,1,629,10823,,
15生物工程,A026北京中医药大学,2,2,2,611,19887,,
16康复治疗学,A026北京中医药大学,1,1,1,617,16643,,
17公共管理类,A026北京中医药大学,3,3,3,609,21042,,
18药事管理,A026北京中医药大学,2,2,2,615,17695,,
19大数据管理与应用,A026北京中医药大学,3,3,3,605,23124,,
20法学（医药卫生）,A026北京中医药大学,2,2,2,615,17534,,
21英语（医学）,A026北京中医药大学,4,4,4,610,20602,,
22英语（中医药国际传播）,A026北京中医药大学,4,4,4,611,19747,,
23护理学,A026北京中医药大学,3,3,3,604,23777,,
Z1人文科学试验班,A027北京师范大学,27,29,29,659,2803,,
Z2社会科学试验班,A027北京师范大学,26,28,28,660,2662,,
Z3理科试验班,A027北京师范大学,27,27,27,659,2750,,
Z4数学类,A027北京师范大学,12,14,14,666,1736,,
Z5教育学类,A027北京师范大学,7,7,7,659,2814,,
Z6历史学类,A027北京师范大学,6,6,6,656,3399,,
Z7物理学类,A027北京师范大学,18,19,19,659,2679,,
0D中国语言文学类,A028首都师范大学,5,5,5,617,16518,,
0R教育技术学,A028首都师范大学,4,4,4,612,19284,,
0V数学类（数理实验班）,A028首都师范大学,4,4,4,621,14561,,
0X光电信息科学与工程,A028首都师范大学,4,4,4,610,20172,,
14电子信息工程,A028首都师范大学,3,3,3,613,18381,,
19英语,A028首都师范大学,5,5,5,617,16303,,
1J公共管理类,A028首都师范大学,4,4,4,612,19398,,
01英语,A030北京外国语大学,4,4,4,657,3188,,
02德语,A030北京外国语大学,2,2,2,657,3138,,
03法语,A030北京外国语大学,1,1,1,665,1882,,
05西班牙语,A030北京外国语大学,2,2,2,659,2844,,
08日语,A030北京外国语大学,2,2,2,652,4098,,
31汉语国际教育,A030北京外国语大学,2,2,2,652,4201,,
36金融学,A030北京外国语大学,1,1,1,657,3151,,
37信息管理与信息系统（大数据与商务分析方向）,A030北京外国语大学,1,1,1,653,3972,,
39外交学,A030北京外国语大学,2,2,2,656,3300,,
41外交学（法语与法语国家研究）,A030北京外国语大学,1,1,1,652,4219,,
JP世界史,A030北京外国语大学,2,2,2,648,4987,,
JQ国际商务（德语和德语国家研究）,A030北京外国语大学,1,1,1,652,4154,,
JS传播学,A030北京外国语大学,1,1,1,652,4059,,
JW新闻学（日语）,A030北京外国语大学,1,1,1,649,4881,,
K2工商管理类,A030北京外国语大学,3,3,3,649,4797,,
K5俄语（金融方向）,A030北京外国语大学,1,1,1,654,3796,,
K6翻译（外交外事高级翻译）,A030北京外国语大学,1,1,1,666,1821,,
KC汉语言文学（英语）,A030北京外国语大学,1,1,1,652,4152,,
34国际经济与贸易(中外合作办学),A030北京外国语大学,2,2,2,639,7559,,
JJ外交学(中外合作办学),A030北京外国语大学,7,7,7,625,12653,,
03日语（人文交流）,A031北京第二外国语学院,2,2,2,615,17761,,
06朝鲜语（人文交流）,A031北京第二外国语学院,2,2,2,607,22361,,
0A法语（人文交流）,A031北京第二外国语学院,2,2,2,613,18374,,
0E德语（经贸合作）,A031北京第二外国语学院,2,2,2,617,16677,,
17人文地理与城乡规划（旅游规划与开发）,A031北京第二外国语学院,2,2,2,599,27721,,
18市场营销（大数据应用）,A031北京第二外国语学院,2,2,2,608,21621,,
1A财务管理（资本量化分析）,A031北京第二外国语学院,2,2,2,617,16212,,
20翻译（中英俄复语）,A031北京第二外国语学院,2,2,2,616,16946,,
22汉语言文学（多语复合）,A031北京第二外国语学院,2,2,2,611,19977,,
24新闻学（融媒体国际新闻）,A031北京第二外国语学院,2,2,2,612,19064,,
3E英语（人文交流）,A031北京第二外国语学院,2,2,2,618,15991,,
42罗马尼亚语（人文交流）,A031北京第二外国语学院,2,2,2,602,25512,,
45酒店管理（健康产业管理—日语实验班）,A031北京第二外国语学院,2,2,2,600,26978,,
47阿拉伯语（中东外交，整班自费出国）,A031北京第二外国语学院,2,2,2,606,22981,,
01英语,A032北京语言大学,3,3,3,622,14159,,
02英语（英西复语）,A032北京语言大学,2,2,2,624,13218,,
14翻译（英语）,A032北京语言大学,2,2,2,625,12679,,
15翻译（本地化）,A032北京语言大学,2,2,2,617,16665,,
16翻译（汉英法）,A032北京语言大学,2,2,2,621,14535,,
17汉语国际教育,A032北京语言大学,2,2,2,614,18249,,
18汉语言文学,A032北京语言大学,2,2,2,617,16560,,
19国际政治,A032北京语言大学,1,1,1,628,11170,,
20新闻学（国际新闻传播）,A032北京语言大学,1,1,1,631,10100,,
21国际事务与国际关系,A032北京语言大学,1,1,1,613,18375,,
22网络与新媒体,A032北京语言大学,1,1,1,613,18682,,
23计算机类,A032北京语言大学,7,7,7,600,26424,,
24金融学,A032北京语言大学,4,4,4,609,21104,,
26会计学,A032北京语言大学,2,2,2,605,23357,,
27国际经济与贸易,A032北京语言大学,2,2,2,613,18791,,
34语言学,A032北京语言大学,2,2,2,607,21890,,
31国际新闻与传播,A033中国传媒大学,2,2,2,646,5559,,
34汉语言,A033中国传媒大学,2,2,2,637,8247,,
37新闻学,A033中国传媒大学,3,3,3,648,4988,,
38新闻学（数据新闻报道方向）,A033中国传媒大学,3,3,3,640,7056,,
39网络与新媒体（媒体创意方向）,A033中国传媒大学,2,2,2,648,5066,,
40传播学,A033中国传媒大学,2,2,2,649,4865,,
41传播学（媒体市场调查与分析方向）,A033中国传媒大学,2,2,2,640,7231,,
42广告学,A033中国传媒大学,2,2,2,644,6151,,
43广告学（数字营销方向）,A033中国传媒大学,3,3,3,639,7332,,
45网络与新媒体（智能融媒体运营方向）,A033中国传媒大学,3,3,3,643,6185,,
47翻译,A033中国传媒大学,3,3,3,634,9231,,
56工商管理类,A033中国传媒大学,3,3,3,637,8181,,
57经济学类,A033中国传媒大学,2,2,2,640,7220,,
59行政管理（国家治理与政治传播方向）,A033中国传媒大学,2,2,2,634,9257,,
61文化产业管理,A033中国传媒大学,3,3,3,637,8043,,
62通信工程,A033中国传媒大学,2,2,2,630,10633,,
63通信工程（无线多媒体广播技术方向）,A033中国传媒大学,2,2,2,627,11855,,
64电子信息工程,A033中国传媒大学,2,2,2,626,12090,,
65广播电视工程,A033中国传媒大学,3,3,3,628,11374,,
66自动化（演艺工程与智能技术方向）,A033中国传媒大学,2,2,2,625,12614,,
67数字媒体技术,A033中国传媒大学,2,2,2,639,7437,,
68物联网工程,A033中国传媒大学,3,3,3,625,12519,,
70智能科学与技术（智能媒体技术方向）,A033中国传媒大学,2,2,2,632,9934,,
72数据科学与大数据技术（传媒大数据方向）,A033中国传媒大学,2,2,2,631,10121,,
73网络空间安全,A033中国传媒大学,2,2,2,627,11725,,
74计算机科学与技术,A033中国传媒大学,2,2,2,627,11791,,
75数据科学与大数据技术,A033中国传媒大学,3,3,3,627,11676,,
76数字媒体技术（游戏设计技术方向）,A033中国传媒大学,3,3,3,636,8592,,
77传播学(中外合作办学),A033中国传媒大学,9,9,9,621,14582,,
08精算学,A034中央财经大学,4,4,4,665,1865,,
