专业代号及名称,院校代号及名称,投档计划数,投档最低位次
0E电气工程及其自动化,A153沈阳建筑大学,1,50713
0T电气工程及其自动化,B417北京联合大学,1,50730
48电气工程及其自动化(卓越计划班),A732兰州交通大学,2,51423
43电气工程及其自动化,A212黑龙江大学,2,51601
0Y电气工程及其自动化,A636四川师范大学,2,53066
11电气工程及其自动化,B632沈阳工程学院,4,53134
0G建筑电气与智能化,A153沈阳建筑大学,1,54072
47电气工程及其自动化,A732兰州交通大学,5,55443
0K电气工程及其自动化,A426青岛科技大学,78,55537
22电气工程及其自动化(师范类),A066天津职业技术师范大学,1,56956
D1电气工程及其自动化,A186长春理工大学,5,57662
18电气类(中外合作办学)(2加2),F301宁波诺丁汉大学,7,58196
38电气工程及其自动化(中外合作办学),B276南京工程学院,5,58455
1H电气工程及其自动化,A094河北师范大学,4,58460
72电气工程及其自动化,A081华北理工大学,3,59080
12电气工程及其自动化,A110中北大学,8,59388
0R电气工程及其自动化,A361安徽理工大学,2,59464
28电气工程及其自动化,A709西安工程大学,3,60023
21电气工程及其自动化,A078华北水利水电大学,5,60751
0F建筑电气与智能化,A404华东交通大学,2,61812
47电气工程与智能控制,A110中北大学,7,62009
17电气类(中外合作办学),F301宁波诺丁汉大学,13,62018
01电气工程及其自动化,A619西南科技大学,5,62350
N4电气类,A792天津城建大学,3,64457
1J电气工程及其自动化,A429青岛理工大学,82,64504
F2电气工程及其自动化,A360安徽工业大学,3,65834
12电气工程及其自动化(中外合作办学)(中美合作),A259上海应用技术大学,3,65903
03电气工程及其自动化(地方专项计划),A429青岛理工大学,10,65963
F0电气工程及其自动化,A407江西理工大学,2,67454
03电气工程及其自动化,A555南华大学,5,67874
18电气工程及其自动化(国际本科学术互认课程项目),A153沈阳建筑大学,2,68692
30电气工程及其自动化,A656西南民族大学,4,68879
H3建筑电气与智能化(中外合作办学),A703西安建筑科技大学,2,68950
0X电气工程及其自动化,A433山东理工大学,196,69728
2B电气工程及其自动化(地方专项计划),A433山东理工大学,10,70179
